Type,Model,kH/s,C,M,V,W,Miner,Config,Notes (OS/TEMPS/DRIVERS/HARDWARE/FIRMWARE)
AMD GPU,6450,23,625,667,,,cgminer 2.11.3,-I 9 -g 1 -w 64,http://i.imgur.com/WMX3iI6.png
AMD GPU,"6450, SAPPHIRE",28,625,1334,,,Reaper v1.3 Beta 4,worksize 64 aggression 18 threads_per_gpu 1 sharethreads 6 lookup_gap 2 gpu_thread_concurrency 1280,"Windows 7 x86, Pentium 4"
AMD GPU,6570,55,650,900,,,cgminer 2.10.5,-I 16 -w 256 --thread-concurrency 5760,
AMD GPU,"6570, 100323L",100,900,650,1.050 ?,60,cgminer 3.5.0,-I 14 -g 1 --shaders 480,"Windows 7 x64, 75C, Catalyst 13.1, unlocked Athlon II X3 445, 16GB G.skill RAM, WD Caviar 320GB HDD, 430W Corsair Builder, ASUS M4A87TD/USB3"
AMD GPU,6670,127,900,1000,,,cgminer 3.0.1,-I 18 -g 1 -w 256 --thread-concurrency 2400,
AMD GPU,"6750, HD-675X-ZDFR",94,700,735,,,cgminer 3.1.1,-I 16,
AMD GPU,6750,111,952,952,,,cgminer 3.3.1,-I 16 -g 1 -w 128 --thread-concurrency 5760,"Linux Mint 15 Xfce, APP SDK v2.7, Catalyst 13.4"
AMD GPU,6750,160,735,1150,,,GUIMiner-scrypt v0.02,aggression 16 worksize 128 gpu_thread_concurrency 4096,
AMD GPU,"6770, MSI",143,800,1100,,,Reaper v13 Beta 4,aggression 11 gpu_thread_concurrency 3096,
AMD GPU,6770,200,950,1000,,,cgminer,-I 18 -g 1 -w 256 --thread-concurrency 8192,"Gentoo x64, Catalyst 12.6, SDK 2.7"
AMD GPU,6770,200,850,1200,,,cgminer,-I 18 -g 1 -w 256 --thread-concurrency 8192,
AMD GPU,6770,210,950,1300,,,Reaper v13 Beta,aggression 16 gpu_thread_concurrency 3100,
AMD GPU,"6790, PowerColor",236,840,1050,,150,cgminer 3.3.1,-I 18 -g 1 -w 256 --thread-concurrency 4032,58C
AMD GPU,6850,216,800,1025,,,Reaper v13 Beta 4,,"Windows 7 x64, Catalyst 12.6, SDK 2.6"
AMD GPU,"6850, Sapphire",240,850,1000,Y,,cgminer 3.7.0,,"Windows 7, 60C"
