Number,Type,Release date,Source,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J
24,GPU,02.06.2015,https://en.wikipedia.org/wiki/GeForce_900_series,5/7/2018,NVIDIA,GeForce GTX 980 Ti,24,250,0.09
,,6/2/2015,https://cryptomining24.net/gpu-table-with-hashrate/#nvidia,5/7/2018,,,,,
25,GPU,01.08.2015,https://www.cryptocompare.com/mining/amd/radeon-r9-nano-ethereum-mining/,5/7/2018,AMD,Radeon R9 Nano,23,175,0.13
,,8/1/2015,https://en.wikipedia.org/wiki/AMD_Radeon_Rx_300_series,5/7/2018,,,,,
26,GPU,01.11.2015,https://www.cryptocompare.com/mining/amd/radeon-r9-380x-ethereum-mining/,5/7/2018,AMD,Radeon R9 380x,18,200,0.09
,,11/1/2015,https://en.wikipedia.org/wiki/AMD_Radeon_Rx_300_series,5/7/2018,,,,,
27,GPU,27.05.2016,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,GeForce GTX 1080  ,27,180,0.15
,,5/27/2016,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,
28,GPU,01.06.2016,https://www.cryptocompare.com/mining/amd/radeon-rx-480-ethereum-mining/,5/7/2018,AMD,Radeon Rx 480,25,150,0.17
,,6/1/2016,https://en.wikipedia.org/wiki/AMD_Radeon_400_series,5/7/2018,,,,,
29,GPU,10.06.2016,https://www.techradar.com/news/best-mining-gpu,5/7/2018,NVIDIA,GeForce GTX 1070,30,150,0.20
,,6/10/2016,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,
30,GPU,01.08.2016,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX 460,13,75,0.17
,,8/1/2016,https://en.wikipedia.org/wiki/AMD_Radeon_400_series,5/7/2018,,,,,
31,GPU,01.08.2016,https://www.cryptocompare.com/mining/amd/radeon-rx-470-ethereum-mining/,5/7/2018,AMD,Radeon RX 470 ,24,150,0.16
,,8/1/2016,https://en.wikipedia.org/wiki/AMD_Radeon_400_series,5/7/2018,,,,,
32,GPU,18.08.2016,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,GeForce GTX 1060,24,120,0.20
,,8/18/2016,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,
33,GPU,25.10.2016,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,Radeon GTX 1050 Ti,15,75,0.20
,,10/25/2016,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,
34,GPU,10.03.2017,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,GeForce GTX 1080 Ti,37,250,0.15
,,3/10/2017,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,
35,GPU,06.04.2017,https://www.techspot.com/article/1438-ethereum-mining-gpu-benchmark/%20&%20,5/7/2018,NVIDIA,GeForce Titan Xp,31,250,0.12
,,4/6/2017,http://www.nvidia.de/graphics-cards/geforce/pascal/titan-xp/,5/7/2018,,,,,
,,4/6/2017,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,
36,GPU,18.04.2017,https://www.cryptocompare.com/mining/amd/asus-rog-strix-radeon-rx-570-o4g/,5/7/2018,AMD,Radeon RX 570,22,115,0.19
,,4/18/2017,https://en.wikipedia.org/wiki/AMD_Radeon_500_series,5/7/2018,,,,,
37,GPU,18.04.2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX 580,30,185,0.16
,,4/18/2017,https://en.wikipedia.org/wiki/AMD_Radeon_500_series,5/7/2018,,,,,
38,GPU,20.04.2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX 550,11,50,0.22
,,4/20/2017,https://en.wikipedia.org/wiki/AMD_Radeon_500_series,5/7/2018,,,,,
39,GPU,01.07.2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX Vega Frontier Edition,37,300,0.12
,,7/1/2017,https://www.theverge.com/circuitbreaker/2017/6/27/15882684/amd-radeon-vega-frontier-edition-gpu-price-now-available,5/7/2018,,,,,
40,GPU,14.08.2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX Vega 64,40,295,0.14
,,8/14/2017,https://en.wikipedia.org/wiki/AMD_RX_Vega_series,5/7/2018,,,,,
41,GPU,14.08.2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX Vega 64 Liquid,44,345,0.13
,,8/14/2017,https://en.wikipedia.org/wiki/AMD_RX_Vega_series,5/7/2018,,,,,
42,GPU,28.08.2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX Vega 56,37,210,0.18
,,8/28/2017,https://en.wikipedia.org/wiki/AMD_RX_Vega_series,5/7/2018,,,,,
43,GPU,02.11.2017,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,GeForce GTX 1070 Ti,32,150,0.21
,,11/2/2017,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,
44,GPU,13.12.2017,https://www.techradar.com/news/nvidias-titan-v-is-a-massively-powerful-gpu-for-cryptocurrency-mining,5/7/2018,NVIDIA,GTX Titan V,77,237,0.32
,,12/13/2017,https://www.justcryptonews.com/313/nvidia-titan-v-best-gpu-ethereum-mining-if-you-afford-it-video,5/7/2018,,,,,
