Miner_name,Date of release,UNIX_date_of_release,Hashing power (Th/s),Power (W),Efficiency_J_Gh,Qty
Bitfily Snow Panther B1+,08.2018,1533081600,25,"2,100",0.08571,390400
Bitmain Antminer S9j (14.5Th),08.2018,1533081600,15,"1,350",0.09310,10000
Bitmain Antminer S9 Hydro (18Th),08.2018,1533081600,18,"1,728",0.09600,1000
MicroBT Whatsminer M10S,09.2018,1535760000,55,"3,500",0.06364,67455
MicroBT Whatsminer M10,09.2018,1535760000,33,"2,145",0.06500,1000
Innosilicon T2 Turbo+ 32T,09.2018,1535760000,32,"2,200",0.06875,1000
Canaan AvalonMiner 921,09.2018,1535760000,20,"1,700",0.08500,1000
Ebang Ebit E11++,10.2018,1538352000,44,"1,980",0.04500,1000
ASICminer 8 Nano 44Th,10.2018,1538352000,44,"2,100",0.04773,10000
Ebang Ebit E11+,10.2018,1538352000,37,"2,035",0.05500,10000
Ebang Ebit E11,10.2018,1538352000,30,"1,950",0.06500,10000
GMO miner B2,10.2018,1538352000,24,"1,950",0.08125,1000
Bitfury Tardis,11.2018,1541030400,80,"6,300",0.07875,50000
Bitmain Antminer S11 (20.5Th),11.2018,1541030400,21,"1,530",0.07463,50000
GMO miner B3,11.2018,1541030400,33,"3,417",0.10355,1000
Holic H22,12.2018,1543622400,22,"1,700",0.07727,1000
Holic H28,12.2018,1543622400,28,"2,100",0.07500,1000
Innosilicon T3 43T,01.2019,1546300800,43,"2,100",0.04884,1000
Innosilicon T3 39T,03.2019,1551398400,39,"2,150",0.05513,1000
Bitmain Antminer S17 Pro (53Th),04.2019,1554076800,53,"2,094",0.03951,50000
Bitmain Antminer S17 Pro (50Th),04.2019,1554076800,50,"1,975",0.03950,50000
Bitmain Antminer S17 (56Th),04.2019,1554076800,56,"2,520",0.04500,50000
Bitmain Antminer S17 (53Th),04.2019,1554076800,53,"2,385",0.04500,50000
Innosilicon T3+ 52T,05.2019,1556668800,52,"2,200",0.04231,10000
Bitmain Antminer T17 (40Th),05.2019,1556668800,40,"2,200",0.05500,1000
MicroBT Whatsminer M21S,06.2019,1559347200,56,"3,360",0.06000,1000
StrongU STU-U8,07.2019,1561939200,46,"2,100",0.04565,1000
Innosilicon T3,07.2019,1561939200,50,"3,100",0.06200,1000
Bitmain Antminer S9 SE,07.2019,1561939200,16,"1,280",0.08000,1000
MicroBT Whatsminer M21,08.2019,1564617600,31,"1,860",0.06000,1000
MicroBT Whatsminer M20S,08.2019,1564617600,68,"3,360",0.04941,1000
Bitmain Antminer S9k ,08.2019,1564617600,14,"1,310",0.09704,1000
StrongU STU-U8 Pro,09.2019,1567296000,60,"2,800",0.04667,1000
Ebang Ebit E12+,09.2019,1567296000,50,"2,500",0.05000,1000
Innosilicon T3+,09.2019,1567296000,57,"3,300",0.05789,1000
Ebang Ebit E12,09.2019,1567296000,44,"2,500",0.05682,1000
Canaan AvalonMiner 1066,09.2019,1567296000,50,"3,250",0.06500,1000
Canaan AvalonMiner 1047,09.2019,1567296000,37,"2,380",0.06432,1000
Bitmain Antminer S17e,11.2019,1572566400,64,"2,880",0.04500,1000
Bitmain Antminer T17e ,11.2019,1572566400,53,"2,915",0.05500,1000
Bitmain Antminer S17+,12.2019,1575158400,73,"2,920",0.04000,1000
Bitmain Antminer T17+,12.2019,1575158400,64,"3,200",0.05000,1000
,,,,,,
