,brand,name,hashing_power,power,cost,efficiency,consumption
0,ASUS,GTX 1070 8GB Dual OC,460,115.0,£379.99 UK,3.99,0.2506265664160401
1,MSI,GTX 980ti 6GB Gaming,460,,£230 UK,2.27,0.44052863436123346
2,Gigabyte,GTX 1050 2Gb,172,67.5,135 €,2.5481481481481483,0.39244186046511625
3,Gigabyte,AORUS GeForce GTX 1080 Ti 11G,785,300.0,new 800$ with tax; Dec-2017,2.62,0.38167938931297707
4,Gigabyte,GTX 1080 Ti Waterforce 11GD,730,225.0,nan,3.25,0.3076923076923077
5,Gigabyte,GTX 1070 TI,520,125.0,nan,4.16,0.24038461538461536
6,Gigabyte,GTX 1070 G1,445,125.0,nan,3.56,0.2808988764044944
7,MSI,GTX 1080 Aero 8GB OC,610,200.0,New: $800 CAD (Sep/2016),3.05,0.3278688524590164
8,KFA2,GTX 1070 EX,490,180.0,nan,2.7222222222222223,0.36734693877551017
9,KFA2,GTX 1070 EX,440,120.0,nan,3.6666666666666665,0.27272727272727276
10,MSI,GTX 1080 GamingX+,580,160.0,nan,3.625,0.27586206896551724
11,Galax,GTX 1080 Ti HOF,790,200.0,nan,3.95,0.2531645569620253
12,Asus,GTX 760 DirectCU2 OC 2GB,60,99.0,new / used as of June 2017,0.6060606060606061,1.65
13,MSI,GTX 1080 8GB Aero Arctic Accelero Mod,566,180.0,nan,3.1444444444444444,0.31802120141342755
14,MSI,GTX 1070 8GB Quick Silver,450,130.0,nan,3.4615384615384617,0.28888888888888886
15,ASUS,GTX 980 Ti STRIX OC 6GB,470,265.0,330 eur,1.7735849056603774,0.5638297872340425
16,ASUS,GTX 980 Ti STRIX OC 6GB,495,275.0,new / used as of June 2017,1.8,0.5555555555555556
