Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$117,939,634,003","$6,445.81",BTC,SHA-256,559.0,13912524048945.0,1.0689416063512035e+20,12.6773,6419.05,BTC
ethereum,2,"$14,643,464,466",$132.73,ETH,Ethash,13.3282,2209580331758880.0,165782351087084.0,2.0,0.02057474,BTC
bitcoincash,3,"$4,054,994,688",$220.85,BCH,SHA-256,600.0,452076632952.50995,0.0,,,
bitcoinsv,4,"$3,053,664,182",$166.34,BSV,SHA-256,573.0,389741049887.227,2.9213351887859405e+18,12.5,0.025814,BTC
litecoin,5,"$2,513,807,278",$39.03,LTC,Scrypt,142.0,4950636.564,149738184061702.0,12.5,0.0060502,BTC
monero,6,"$823,449,770",$47.04,XMR,RandomX,117.0,151352815667.0,1293613809.0,1.798529253473,0.007301,BTC
cardano,7,"$782,239,533",$0.030171,,,,,,,,
tron,8,"$770,936,034",$0.011561,,,,,,,,
dash,9,"$614,133,051",$65.23,DASH,X11,156.0,173476197.537774,4776119199097275.0,1.5533134445469152,0.01011104,BTC
ethereumclassic,10,"$573,058,196",$4.93,ETC,Ethash,13.2799,125099987004262.0,9420250679919.0,3.104,0.0007626,BTC
zcash,11,"$293,656,571",$30.49,ZEC,Equihash,75.0,44980753.175585,4913097733.0,5.0,0.004724,BTC
dogecoin,12,"$225,445,328",$0.001819,DOGE,Scrypt,62.0,2609556.43399298,180773540984939.0,10000.0,2.805e-07,BTC
bitcoingold,13,"$125,209,316",$7.15,BTG,Zhash,596.0,167935.839843597,2308272.0,12.5,0.001104,BTC
decred,14,"$121,870,030",$11.30,DCR,Blake (14r),292.0,21877166312.5952,3.2178669123886746e+17,9.234857748276793,0.00175732,BTC
algorand,15,"$102,944,236",$0.154552,,,,,,,,
ravencoin,16,"$87,928,587",$0.015056,RVN,X16Rv2,59.0,510410.591410578,37155877926109.0,5000.0,2.35e-06,BTC
bitcoindiamond,17,"$87,519,180",$0.469290,BCD,BCD,678.0,2362102.31433402,14963351312493.0,125.0,7.327e-05,BTC
monacoin,18,"$78,759,726",$1.20,MONA,Lyra2REv2,94.0,2438563.98085513,111420771776344.0,25.0,0.0001844,BTC
digibyte,19,"$57,675,591",$0.004442,DGB,Scrypt,15.0,4927575.5074822,0.0,,,
bytom,20,"$56,569,025",$0.056428,,,,,,,,
energi,21,"$54,887,871",$1.99,,,,,,,,
siacoin,22,"$52,982,286",$0.001267,,,,,,,,
abbccoin,23,"$50,694,078",$0.091272,,,,,,,,
horizen,24,"$49,002,922",$5.60,ZEN,Equihash,151.0,12607789.1338197,683993434.0,7.5,0.0008698,BTC
hypercash,25,"$43,062,361",$0.966384,,,,,,,,
komodo,26,"$42,982,537",$0.361139,KMD,Equihash,60.0,213244260.214051,56865136.0,3.0,5.6e-05,BTC
verge,27,"$39,749,346",$0.002450,XVG,Scrypt,30.0,5517.74423803,0.0,,,
