Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$128,301,981,671","$7,000.16",BTC,SHA-256,518.0,14715214060656.0,1.2201035356014841e+20,12.6818,6988.96,BTC
ethereum,2,"$18,689,551,473",$169.07,ETH,Ethash,13.2528,2305973578728850.0,173998972196732.0,2.0,0.02421788,BTC
bitcoincash,3,"$4,221,118,490",$229.64,BCH,SHA-256,600.0,260671914097.44,0.0,,,
bitcoinsv,4,"$3,510,594,288",$191.00,BSV,SHA-256,570.0,207238141399.027,1.561545683846745e+18,6.25,0.027334,BTC
litecoin,5,"$2,732,266,808",$42.35,LTC,Scrypt,145.0,5326059.037,157760340555036.0,12.5,0.00604,BTC
monero,6,"$979,236,577",$55.88,XMR,RandomX,122.0,144223625015.0,1182160860.0,1.760579342387,0.007982,BTC
cardano,7,"$872,113,628",$0.033637,,,,,,,,
tron,8,"$857,987,714",$0.012867,,,,,,,,
dash,9,"$707,856,579",$74.97,DASH,X11,155.0,250816179.144498,6949982495053522.0,1.5533134445469152,0.01067879,BTC
ethereumclassic,10,"$624,385,749",$5.37,ETC,Ethash,13.175999999999998,113771030046343.0,8634716913049.0,3.104,0.0007678,BTC
zcash,11,"$346,663,975",$38.72,ZEC,Equihash,75.0,45036717.4323354,4919210522.0,5.0,0.0055294,BTC
dogecoin,12,"$249,393,916",$0.002008,DOGE,Scrypt,62.0,1788913.48510289,123924595385327.0,10000.0,2.8251e-07,BTC
bitcoingold,13,"$170,374,163",$9.73,BTG,Zhash,600.0,174489.870411091,2382368.0,12.5,0.001383,BTC
decred,14,"$140,543,923",$12.37,DCR,Blake (14r),326.0,24611559909.9309,3.242510580266807e+17,9.234857748276793,0.00176335,BTC
algorand,15,"$120,830,660",$0.178256,,,,,,,,
ravencoin,16,"$96,973,337",$0.016286,RVN,X16Rv2,60.0,498487.46116132,35683122385899.0,5000.0,2.29e-06,BTC
bitcoindiamond,17,"$96,928,901",$0.519746,BCD,BCD,594.0,4282239.04532301,30963092008950.0,125.0,7.412e-05,BTC
monacoin,18,"$78,295,835",$1.19,MONA,Lyra2REv2,94.0,3372952.59916435,154114054301798.0,25.0,0.00016972,BTC
digibyte,19,"$74,811,873",$0.005737,DGB,Scrypt,15.0,3053304.2226048,0.0,,,
komodo,20,"$65,589,048",$0.549662,KMD,Equihash,61.0,183284264.302777,48074561.0,3.0,7.8e-05,BTC
energi,21,"$63,220,109",$2.26,,,,,,,,
abbccoin,22,"$62,861,164",$0.113178,,,,,,,,
bytom,23,"$58,061,097",$0.057916,BTM,Tensority,170.0,75672743597.3296,445133785.0,412.5,7.997e-06,BTC
siacoin,24,"$55,271,224",$0.001322,,,,,,,,
horizen,25,"$49,528,733",$5.59,ZEN,Equihash,152.0,9369698.56056857,504977438.0,7.5,0.0007974,BTC
hypercash,26,"$46,009,904",$1.03,,,,,,,,
bytecoin,27,"$44,522,171",$0.000242,BCN,CryptoNight,124.0,30047236537.0,242316423.0,323.94602205,3e-08,BTC
verge,28,"$43,252,178",$0.002664,XVG,Scrypt,30.0,9820.50981,0.0,,,
zilliqa,29,"$42,490,137",$0.004226,,,,,,,,
zcoin,30,"$33,699,089",$3.40,XZC,MTP,327.0,6122.8734,80420614711.0,14.0,0.00049111,BTC
aeternity,31,"$30,568,870",$0.099436,AE,CuckooCycle,184.0,26100350.0,141849.0,178.2,1.428e-05,BTC
aion,32,"$25,813,950",$0.062898,AION,"Equihash (210,9)",11.0,13150447.0,1195495.0,4.5,8.99e-06,BTC
tomochain,33,"$22,956,641",$0.326237,,,,,,,,
cortex,34,"$22,290,823",$0.089185,,,,,,,,
elastos,35,"$20,179,077",$1.10,,,,,,,,
nuls,36,"$19,609,585",$0.202709,,,,,,,,
electroneum,37,"$19,392,598",$0.001927,,,,,,,,
grin,38,"$19,147,934",$0.487083,,,,,,,,
beam,39,"$16,290,678",$0.272592,BEAM,BeamHashII,60.0,103121336.0,1718688.0,40.0,3.895e-05,BTC
divi,40,"$15,452,154",$0.009503,,,,,,,,
ilcoin,41,"$14,508,922",$0.033467,,,,,,,,
vertcoin,42,"$12,467,043",$0.229447,VTC,Lyra2REv3,152.0,65318.719450063,1845669499043.0,25.0,3.216e-05,BTC
groestlcoin,43,"$11,454,715",$0.153029,GRS,Groestl,63.0,929934.342318935,63397422026779.0,5.0,2.171e-05,BTC
syscoin,44,"$11,361,787",$0.019462,SYS,SHA-256,60.0,274738514930.25,0.0,,,
loki,45,"$11,062,218",$0.233819,,,,,,,,
nexus,46,"$9,853,246",$0.152357,,,,,,,,
cryptonex,47,"$92,345,919",$1.66,,,,,,,,
counoscoin,48,"$71,552,654",$4.82,,,,,,,,
vitae,49,"$27,128,187",$1.39,,,,,,,,
edcblockchain,50,"$15,699,026",$0.005878,,,,,,,,
microbitcoin,51,"$14,902,046",$0.000079,,,,,,,,
zvchain,52,"$14,689,398",$0.028197,,,,,,,,
fibos,53,"$11,917,009",$0.011219,,,,,,,,
unobtanium,54,"$11,007,598",$54.49,,,,,,,,
newton,55,"$8,543,360",$0.000415,,,,,,,,
einsteinium,56,"$8,524,138",$0.038811,EMC2,Scrypt,72.0,1202.9155643189,71756708452.0,1.95,5.4e-06,BTC
mircoin,57,"$7,727,373",$0.008775,,,,,,,,
metaverseetp,58,"$7,576,343",$0.097139,,,,,,,,
otocash,59,"$7,444,210",$0.349233,,,,,,,,
burst,60,"$7,307,621",$0.003497,,,,,,,,
nkn,61,"$7,051,256",$0.015110,,,,,,,,
namecoin,62,"$6,078,523",$0.412484,NMC,SHA-256,600.0,13904616800000.0,0.0,,,
aeon,63,"$6,018,314",$0.380149,,,,,,,,
polis,64,"$5,692,458",$0.578979,,,,,,,,
gulden,65,"$5,494,278",$0.010772,,,,,,,,
lightningbitcoin,66,"$5,222,438",$1.35,,,,,,,,
blockstamp,67,"$5,061,869",$0.192381,,,,,,,,
electra,68,"$4,884,575",$0.000170,,,,,,,,
quantumresistantledger,69,"$4,746,459",$0.066965,,,,,,,,
peercoin,70,"$4,459,101",$0.170554,PPC,SHA-256,2700.0,1667342055.41815,2652288740469027.0,49.48235859373908,2.522e-05,BTC
lbrycredits,71,"$4,442,420",$0.012695,,,,,,,,
piratechain,72,"$3,524,024",$0.022921,,,,,,,,
dero,73,"$3,482,172",$0.361447,,,,,,,,
helleniccoin,74,"$3,407,765",$0.048976,,,,,,,,
