Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$126,479,872,532","$6,897.41",BTC,SHA-256,581.0,15958652328578.0,1.179722716686347e+20,12.657,6851.86,BTC
ethereum,2,"$19,144,615,254",$173.09,ETH,Ethash,13.2987,2213114334694690.0,166415840247143.0,2.0,0.02502406,BTC
bitcoincash,3,"$4,049,800,360",$220.27,BCH,SHA-256,600.0,274853791443.87003,0.0,,,
bitcoinsv,4,"$3,382,322,843",$183.98,BSV,SHA-256,603.0,199133053456.534,1.418358129599392e+18,6.25,0.026623,BTC
litecoin,5,"$2,626,688,559",$40.69,LTC,Scrypt,143.0,5810113.177,174505217351564.0,12.5,0.005897,BTC
monero,6,"$964,419,238",$55.01,XMR,RandomX,117.0,150042994798.0,1282418758.0,1.747172001156,0.007985,BTC
cardano,7,"$891,709,868",$0.034393,,,,,,,,
tron,8,"$837,154,247",$0.012554,,,,,,,,
dash,9,"$709,929,029",$75.12,DASH,X11,158.0,112677693.715076,3062955756297191.0,1.5533134445469152,0.01086585,BTC
ethereumclassic,10,"$607,586,490",$5.22,ETC,Ethash,13.2377,107835148271672.0,8146063762713.0,3.104,0.0007576,BTC
zcash,11,"$381,238,822",$42.42,ZEC,Equihash,75.0,42685308.9513753,4662374012.0,5.0,0.006134,BTC
dogecoin,12,"$248,121,039",$0.001997,DOGE,Scrypt,62.0,2407577.39113298,166781712217825.0,10000.0,2.8851e-07,BTC
bitcoingold,13,"$155,641,600",$8.89,BTG,Zhash,603.0,114812.001349956,1559767.0,6.25,0.001287,BTC
decred,14,"$137,259,475",$12.05,DCR,Blake (14r),326.0,20584993799.7188,2.7120207103728534e+17,9.14342351314534,0.00174708,BTC
algorand,15,"$126,146,773",$0.179887,,,,,,,,
digibyte,16,"$97,811,742",$0.007492,DGB,Scrypt,15.0,39885.04819747,0.0,,,
ravencoin,17,"$96,572,172",$0.016126,RVN,X16Rv2,60.0,387010.756647412,27703309050014.0,5000.0,2.2e-06,BTC
bitcoindiamond,18,"$94,887,739",$0.508801,BCD,BCD,585.0,6948405.55976162,51013973741061.0,125.0,7.422e-05,BTC
monacoin,19,"$76,350,463",$1.16,MONA,Lyra2REv2,95.0,2722971.01318771,123106015258917.0,25.0,0.00016675,BTC
komodo,20,"$65,230,064",$0.546279,KMD,Equihash,60.0,190862830.94317,50896754.0,3.0,7.91e-05,BTC
energi,21,"$65,220,083",$2.32,,,,,,,,
abbccoin,22,"$59,514,508",$0.107153,,,,,,,,
bytom,23,"$55,626,217",$0.055488,BTM,Tensority,145.0,70816776044.8586,488391558.0,412.5,8.054e-06,BTC
siacoin,24,"$54,836,275",$0.001311,,,,,,,,
horizen,25,"$49,732,444",$5.59,ZEN,Equihash,153.0,9057558.91325887,484964200.0,7.5,0.0008011,BTC
hypercash,26,"$43,361,574",$0.972584,,,,,,,,
verge,27,"$42,480,790",$0.002615,XVG,Scrypt,30.0,11142.0449,0.0,,,
bytecoin,28,"$42,228,576",$0.000229,BCN,CryptoNight,123.0,28110417667.0,228539981.0,319.77287992,3.132e-08,BTC
zilliqa,29,"$41,204,981",$0.004093,,,,,,,,
zcoin,30,"$38,210,391",$3.84,XZC,MTP,297.0,6145.2307,88867221827.0,14.0,0.00055504,BTC
aeternity,31,"$30,063,031",$0.097646,AE,CuckooCycle,178.0,26185700.0,147110.0,176.418,1.415e-05,BTC
aion,32,"$25,181,677",$0.061357,AION,"Equihash (210,9)",11.0,10299974.0,936361.0,4.5,8.89e-06,BTC
tomochain,33,"$22,034,763",$0.312910,,,,,,,,
cortex,34,"$21,425,832",$0.085724,,,,,,,,
elastos,35,"$20,126,909",$1.09,,,,,,,,
electroneum,36,"$18,813,903",$0.001868,,,,,,,,
grin,37,"$18,373,115",$0.462540,,,,,,,,
nuls,38,"$18,186,628",$0.187873,,,,,,,,
beam,39,"$15,406,949",$0.256627,BEAM,BeamHashII,60.0,97920608.0,1632010.0,40.0,3.72e-05,BTC
divi,40,"$14,597,404",$0.008940,,,,,,,,
ilcoin,41,"$14,374,373",$0.032805,,,,,,,,
vertcoin,42,"$13,710,937",$0.252019,VTC,Lyra2REv3,158.0,66634.113102164,1811337573238.0,25.0,3.599e-05,BTC
groestlcoin,43,"$11,244,050",$0.150149,GRS,Groestl,62.0,1401164.07467303,97063772210496.0,5.0,2.14e-05,BTC
loki,44,"$11,141,478",$0.235048,,,,,,,,
syscoin,45,"$10,878,408",$0.018626,SYS,SHA-256,60.0,290661723346.85,0.0,,,
cryptonex,46,"$89,245,668",$1.60,,,,,,,,
counoscoin,47,"$71,859,734",$4.84,,,,,,,,
vitae,48,"$28,196,194",$1.45,,,,,,,,
edcblockchain,49,"$15,822,350",$0.005925,,,,,,,,
fibos,50,"$11,370,847",$0.010703,,,,,,,,
microbitcoin,51,"$11,162,041",$0.000059,,,,,,,,
unobtanium,52,"$11,050,705",$54.70,,,,,,,,
zvchain,53,"$10,000,235",$0.018884,,,,,,,,
nexus,54,"$9,635,201",$0.148986,,,,,,,,
newton,55,"$8,954,124",$0.000435,,,,,,,,
einsteinium,56,"$8,234,091",$0.037487,EMC2,Scrypt,36.0,728.31014953507,86890785377.0,1.95,5.22e-06,BTC
otocash,57,"$7,486,476",$0.351216,,,,,,,,
burst,58,"$7,310,765",$0.003498,,,,,,,,
polis,59,"$7,281,179",$0.740568,,,,,,,,
metaverseetp,60,"$7,227,442",$0.092628,,,,,,,,
nkn,61,"$7,118,809",$0.015255,,,,,,,,
mircoin,62,"$6,978,531",$0.007924,,,,,,,,
aeon,63,"$6,029,648",$0.380865,,,,,,,,
lbrycredits,64,"$5,664,935",$0.016095,,,,,,,,
gulden,65,"$5,546,092",$0.010866,,,,,,,,
namecoin,66,"$5,364,470",$0.364029,NMC,SHA-256,600.0,13904616840200.0,0.0,,,
