Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$174,308,483,625","$9,482.45",BTC,SHA-256,600.0,15138043247082.0,9.49159133892713e+19,7.90184466019417,9592.91070833333,BTC
ethereum,2,"$23,323,062,413",$210.09,ETH,Ethash,15.0,2281204528599910.0,164952650495753.0,2.0,0.0219802925034771,BTC
bitcoincash,3,"$4,407,875,698",$239.39,BCH,SHA-256,600.0,397445625879.35,0.0,,,
bitcoinsv,4,"$3,665,036,129",$199.06,BSV,SHA-256,546.0,256095906340.548,2.291962205726912e+18,6.25,0.0207274041666667,BTC
litecoin,5,"$2,854,148,761",$44.06,LTC,Scrypt,150.0,6498845.33142525,161007832253374.0,12.5,0.00464625972222222,BTC
cardano,6,"$1,451,224,693",$0.055973,,,,,,,,
monero,7,"$1,121,839,847",$63.86,XMR,RandomX,120.0,149115314365.458,1385332954.0,1.68066085125129,0.00678274130737134,BTC
ethereumclassic,8,"$747,733,289",$6.43,ETC,Ethash,15.0,111104155497764.0,8744426425778.0,3.10400000000001,0.000678001251738527,BTC
dash,9,"$730,145,661",$76.83,DASH,X11,150.0,214881714.861747,6170349834706203.0,1.44236248422214,0.00802192684283728,BTC
zcash,10,"$436,359,244",$47.42,ZEC,Equihash,75.0,52944804.4279408,4652732937.0,5.0,0.00505362533426184,BTC
dogecoin,11,"$311,922,447",$0.002502,DOGE,Scrypt,60.0,2448686.65657171,206702812684633.0,10000.0,2.617638108484e-07,BTC
digibyte,12,"$207,714,973",$0.015785,DGB,Scrypt,15.0,79943.819522,0.0,,,
decred,13,"$157,453,361",$13.67,DCR,Blake (14r),275.0,19940234539.7103,3.2375894737103066e+17,9.05289456747065,0.00142734551712494,BTC
bitcoingold,14,"$157,179,967",$8.97,BTG,Zhash,590.0,79102.213156326,973491.0,6.25,0.000943775243393599,BTC
algorand,15,"$145,660,025",$0.204009,,,,,,,,
ravencoin,16,"$117,985,717",$0.019013,RVN,KawPow,60.0,47865.2217321545,3175289376617.0,5000.0,2.00331015299025e-06,BTC
monacoin,17,"$108,357,761",$1.65,MONA,Lyra2REv2,90.0,2000905.70652774,84651751916271.0,25.0,0.000173492055555556,BTC
bitcoindiamond,18,"$100,940,464",$0.541256,BCD,BCD,640.0,3204500.81478711,21975444252656.0,125.0,5.76482638888888e-05,BTC
zilliqa,19,"$95,823,738",$0.009447,,,,,,,,
siacoin,20,"$85,469,186",$0.002044,,,,,,,,
energi,21,"$76,248,648",$2.61,,,,,,,,
abbccoin,22,"$70,173,245",$0.126343,,,,,,,,
komodo,23,"$68,104,898",$0.568114,KMD,Equihash,60.0,234670857.732585,89260962.0,3.0,5.8119861111111e-05,BTC
electroneum,24,"$62,688,870",$0.006203,,,,,,,,
bytom,25,"$62,243,006",$0.062088,BTM,Tensority,137.0,64752943938.0,472649225.0,412.5,6.51799026425591e-06,BTC
verge,26,"$58,419,837",$0.003590,XVG,Scrypt,30.0,21653.4748,0.0,,,
