Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$126,925,044,414","$6,928.13",BTC,SHA-256,527.0,14715214060656.0,1.1992668528303014e+20,12.58077,6916.51,BTC
ethereum,2,"$17,669,734,191",$159.92,ETH,Ethash,13.2883,2218283667784800.0,166935098378633.0,2.0,0.02311616,BTC
bitcoincash,3,"$4,314,980,237",$234.79,BCH,SHA-256,600.0,320208392331.25,0.0,,,
bitcoinsv,4,"$3,453,788,423",$187.94,BSV,SHA-256,619.0,189500674636.024,1.3148613895503388e+18,6.25,0.027161,BTC
litecoin,5,"$2,759,780,836",$42.79,LTC,Scrypt,145.0,5391480.755,159698162205092.0,12.5,0.00618521,BTC
monero,6,"$935,499,932",$53.40,XMR,RandomX,117.0,149119768138.0,1274527932.0,1.767775897327,0.007722,BTC
cardano,7,"$876,581,721",$0.033810,,,,,,,,
tron,8,"$846,456,234",$0.012694,,,,,,,,
dash,9,"$707,912,027",$75.03,DASH,X11,157.0,186711943.275686,5107781465870563.0,1.5533134445469152,0.01086356,BTC
ethereumclassic,10,"$621,032,622",$5.34,ETC,Ethash,13.0666,119808454630907.0,9169061165942.0,3.104,0.0007711,BTC
zcash,11,"$359,648,032",$36.69,ZEC,Equihash,74.0,42119741.6380971,4662769236.0,5.0,0.00529441,BTC
dogecoin,12,"$247,223,566",$0.001992,DOGE,Scrypt,62.0,2601424.93584541,180210242297660.0,10000.0,2.8651e-07,BTC
bitcoingold,13,"$176,694,000",$10.09,BTG,Zhash,584.0,212644.10756082,2982843.0,12.5,0.001447,BTC
decred,14,"$130,755,153",$12.12,DCR,Blake (14r),321.0,27200891537.4159,3.6394685225932864e+17,9.234857748276793,0.00175185,BTC
algorand,15,"$121,886,113",$0.180634,,,,,,,,
bitcoindiamond,16,"$98,881,582",$0.530216,BCD,BCD,603.0,2144966.57301212,15277879406468.0,125.0,7.65e-05,BTC
ravencoin,17,"$98,715,940",$0.016659,RVN,X16Rv2,60.0,556582.255376018,39841709739565.0,5000.0,2.4e-06,BTC
