Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$126,137,579,984","$6,883.60",BTC,SHA-256,479.0,14715214060656.0,1.3194439069761352e+20,12.58967,6880.03,BTC
ethereum,2,"$17,450,146,713",$157.90,ETH,Ethash,13.1117,2330033920126510.0,177706469803801.0,2.0,0.02294316,BTC
bitcoincash,3,"$4,132,929,585",$224.86,BCH,SHA-256,600.0,233559885536.15,0.0,,,
bitcoinsv,4,"$3,505,820,225",$190.76,BSV,SHA-256,667.0,204108700468.233,1.3143031384409605e+18,6.25,0.027734,BTC
litecoin,5,"$2,666,954,955",$41.34,LTC,Scrypt,157.0,5478356.499,149868547764548.0,12.5,0.0060126,BTC
monero,6,"$953,501,402",$54.42,XMR,RandomX,119.0,152414507857.0,1280794183.0,1.762830409885,0.007915,BTC
cardano,7,"$865,008,920",$0.033363,,,,,,,,
tron,8,"$843,548,475",$0.012650,,,,,,,,
dash,9,"$692,896,546",$73.41,DASH,X11,157.0,168292778.467378,4603897959683831.0,1.5533134445469152,0.01065728,BTC
ethereumclassic,10,"$606,620,902",$5.22,ETC,Ethash,13.0083,120361889340208.0,9252699379642.0,3.104,0.0007584,BTC
zcash,11,"$354,219,575",$36.03,ZEC,Equihash,74.0,46924919.9519445,5194715462.0,5.0,0.00522648,BTC
dogecoin,12,"$242,999,859",$0.001957,DOGE,Scrypt,63.0,2043363.08206385,139304406528857.0,10000.0,2.8424e-07,BTC
bitcoingold,13,"$172,421,995",$9.84,BTG,Zhash,604.0,207958.122500363,2820518.0,12.5,0.0014255,BTC
decred,14,"$129,817,531",$12.03,DCR,Blake (14r),268.0,24737666878.8204,3.9644578441744774e+17,9.234857748276793,0.00174637,BTC
algorand,15,"$119,887,696",$0.177350,,,,,,,,
ravencoin,16,"$97,506,628",$0.016415,RVN,X16Rv2,60.0,501569.882565039,35903770704590.0,5000.0,2.35e-06,BTC
bitcoindiamond,17,"$96,022,859",$0.514887,BCD,BCD,499.0,2838776.00431692,24433767733889.0,125.0,7.533e-05,BTC
monacoin,18,"$79,331,468",$1.21,MONA,Lyra2REv2,95.0,2239297.04798371,101239027232835.0,25.0,0.00017339,BTC
digibyte,19,"$70,105,338",$0.005379,DGB,Scrypt,15.0,29473.86243386,0.0,,,
energi,20,"$61,118,290",$2.18,,,,,,,,
komodo,21,"$57,499,146",$0.482123,KMD,Equihash,60.0,229586935.083058,61223182.0,3.0,6.9e-05,BTC
bytom,22,"$56,410,468",$0.056270,BTM,Tensority,147.0,70741967290.1124,481237872.0,412.5,8.089e-06,BTC
abbccoin,23,"$54,806,526",$0.098676,,,,,,,,
siacoin,24,"$54,212,211",$0.001296,,,,,,,,
horizen,25,"$47,490,001",$5.37,ZEN,Equihash,151.0,9891255.87835525,536617007.0,7.5,0.0007801,BTC
bytecoin,26,"$46,108,799",$0.000251,BCN,CryptoNight,123.0,31366202238.0,255009774.0,325.7030753,3e-08,BTC
hypercash,27,"$44,960,480",$1.01,,,,,,,,
verge,28,"$42,553,574",$0.002621,XVG,Scrypt,30.0,11485.0457,0.0,,,
zilliqa,29,"$41,596,710",$0.004140,,,,,,,,
zcoin,30,"$33,205,257",$3.36,XZC,MTP,297.0,6190.3229,89519307768.0,14.0,0.00048599,BTC
aeternity,31,"$30,497,544",$0.099265,AE,CuckooCycle,182.0,28128750.0,154553.0,178.2,1.44e-05,BTC
aion,32,"$26,169,524",$0.063764,AION,"Equihash (210,9)",11.0,9814424.0,892220.0,4.5,9.26e-06,BTC
cortex,33,"$21,065,838",$0.084284,,,,,,,,
elastos,34,"$20,714,703",$1.13,,,,,,,,
electroneum,35,"$19,426,235",$0.001930,,,,,,,,
nuls,36,"$19,124,481",$0.197750,,,,,,,,
tomochain,37,"$18,999,423",$0.270081,,,,,,,,
grin,38,"$18,850,510",$0.481629,,,,,,,,
beam,39,"$16,215,921",$0.271862,BEAM,BeamHashII,59.0,110261916.0,1868846.0,40.0,3.939e-05,BTC
divi,40,"$14,927,077",$0.009211,,,,,,,,
ilcoin,41,"$14,337,738",$0.033229,,,,,,,,
