Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$131,939,824,608","$7,196.53",BTC,SHA-256,559.0,14715214060656.0,1.1306147252979764e+20,12.6179,7099.04,BTC
ethereum,2,"$20,213,703,486",$182.79,ETH,Ethash,13.3219,2265275897779990.0,170041502922255.0,2.0,0.02536383,BTC
bitcoincash,3,"$4,357,091,635",$237.00,BCH,SHA-256,600.0,247290498195.85,0.0,,,
bitcoinsv,4,"$3,648,077,847",$198.45,BSV,SHA-256,582.0,218267029734.65,1.6107384098030607e+18,6.25,0.02755,BTC
litecoin,5,"$2,781,025,638",$43.09,LTC,Scrypt,140.0,5326059.037,163394638432001.0,12.5,0.005962,BTC
monero,6,"$1,008,534,472",$57.54,XMR,RandomX,116.0,140376469869.0,1210141981.0,1.755500205155,0.008012,BTC
cardano,7,"$933,245,007",$0.035995,,,,,,,,
tron,8,"$874,360,688",$0.013112,,,,,,,,
dash,9,"$753,420,514",$79.75,DASH,X11,159.0,170643725.321292,4609491946682744.0,1.5533134445469152,0.01105064,BTC
ethereumclassic,10,"$644,607,510",$5.54,ETC,Ethash,13.24,111684901681055.0,8435415534822.0,3.104,0.0007708,BTC
zcash,11,"$397,117,714",$44.25,ZEC,Equihash,74.0,56219688.5125944,6223671463.0,5.0,0.00612036,BTC
dogecoin,12,"$254,571,828",$0.002049,DOGE,Scrypt,62.0,2510910.00774172,173939941394351.0,10000.0,2.8422e-07,BTC
bitcoingold,13,"$171,795,025",$9.81,BTG,Zhash,660.0,118410.992173634,1469731.0,6.25,0.001361,BTC
decred,14,"$143,042,662",$12.59,DCR,Blake (14r),365.0,23870571389.8643,2.8088581768849424e+17,9.234857748276793,0.00174893,BTC
algorand,15,"$134,398,943",$0.192009,,,,,,,,
bitcoindiamond,16,"$100,988,072",$0.541512,BCD,BCD,677.0,9243103.16309803,58639329097577.0,125.0,7.474e-05,BTC
ravencoin,17,"$100,977,441",$0.016898,RVN,X16Rv2,60.0,463067.059988418,33147631308418.0,5000.0,2.21e-06,BTC
digibyte,18,"$100,902,246",$0.007732,DGB,Scrypt,15.0,4635092.1776815,0.0,,,
monacoin,19,"$78,135,494",$1.19,MONA,Lyra2REv2,94.0,2924250.65043937,133612350095147.0,25.0,0.00016567,BTC
komodo,20,"$70,198,069",$0.587986,KMD,Equihash,63.0,203955982.117983,51798344.0,3.0,8.18e-05,BTC
energi,21,"$66,658,784",$2.37,,,,,,,,
abbccoin,22,"$63,929,199",$0.115101,,,,,,,,
siacoin,23,"$59,234,484",$0.001417,,,,,,,,
bytom,24,"$58,669,018",$0.058523,BTM,Tensority,147.0,70816776044.8586,481746775.0,412.5,8e-06,BTC
horizen,25,"$49,650,313",$5.59,ZEN,Equihash,150.0,10520137.402845,574539770.0,7.5,0.000777,BTC
bytecoin,26,"$46,730,587",$0.000254,BCN,CryptoNight,117.0,30607120589.0,261599321.0,321.29755589,3e-08,BTC
hypercash,27,"$46,217,007",$1.04,,,,,,,,
verge,28,"$45,719,185",$0.002815,XVG,Scrypt,30.0,22910.6638,0.0,,,
zilliqa,29,"$43,535,702",$0.004327,,,,,,,,
zcoin,30,"$37,348,434",$3.76,XZC,MTP,285.0,6104.2417,91991292871.0,14.0,0.0005212,BTC
aeternity,31,"$31,439,789",$0.102175,AE,CuckooCycle,183.0,23204900.0,126802.0,177.309,1.422e-05,BTC
aion,32,"$26,543,058",$0.064674,AION,"Equihash (210,9)",11.0,9343763.0,849433.0,4.5,9e-06,BTC
tomochain,33,"$23,480,018",$0.333524,,,,,,,,
cortex,34,"$22,918,548",$0.091697,,,,,,,,
elastos,35,"$22,029,124",$1.20,,,,,,,,
grin,36,"$19,491,338",$0.492581,,,,,,,,
electroneum,37,"$19,361,886",$0.001923,,,,,,,,
nuls,38,"$19,346,656",$0.199906,,,,,,,,
beam,39,"$16,462,942",$0.274683,BEAM,BeamHashII,60.0,104067660.0,1734461.0,40.0,3.81e-05,BTC
divi,40,"$15,428,743",$0.009464,,,,,,,,
ilcoin,41,"$14,053,741",$0.032203,,,,,,,,
vertcoin,42,"$13,931,785",$0.256195,VTC,Lyra2REv3,147.0,67555.394488486,1973797346914.0,25.0,3.364e-05,BTC
groestlcoin,43,"$11,589,872",$0.154792,GRS,Groestl,62.0,767194.518430548,53146376876285.0,5.0,2.151e-05,BTC
syscoin,44,"$11,359,598",$0.019453,SYS,SHA-256,60.0,262858071354.88,0.0,,,
loki,45,"$11,358,708",$0.239777,,,,,,,,
nexus,46,"$10,310,956",$0.159435,,,,,,,,
cryptonex,47,"$93,274,319",$1.67,,,,,,,,
counoscoin,48,"$72,378,622",$4.87,,,,,,,,
vitae,49,"$30,608,376",$1.57,,,,,,,,
edcblockchain,50,"$15,364,992",$0.005753,,,,,,,,
zvchain,51,"$13,792,810",$0.026203,,,,,,,,
microbitcoin,52,"$11,914,328",$0.000063,,,,,,,,
