Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$132,584,684,836","$7,232.46",BTC,SHA-256,607.0,14715214060656.0,1.0412086185198826e+20,12.662,7243.37,BTC
ethereum,2,"$20,155,126,881",$182.28,ETH,Ethash,13.3084,2234653700436690.0,167913024889294.0,2.0,0.02535035,BTC
bitcoincash,3,"$4,393,964,013",$239.02,BCH,SHA-256,600.0,261658246398.85,0.0,,,
bitcoinsv,4,"$3,646,202,178",$198.36,BSV,SHA-256,586.0,200433081485.325,1.4690333276723105e+18,6.25,0.027448,BTC
litecoin,5,"$2,815,710,754",$43.63,LTC,Scrypt,134.0,5326059.037,170710816272240.0,12.5,0.00600599,BTC
monero,6,"$1,014,913,081",$57.90,XMR,RandomX,126.0,136828219779.0,1085938252.0,1.753495060844,0.008027,BTC
cardano,7,"$927,212,729",$0.035762,,,,,,,,
tron,8,"$882,996,078",$0.013242,,,,,,,,
dash,9,"$753,007,097",$79.72,DASH,X11,156.0,291189118.575828,8016972700219532.0,1.5533134445469152,0.01100808,BTC
ethereumclassic,10,"$650,424,793",$5.59,ETC,Ethash,13.0545,116779185905785.0,8945511961835.0,3.104,0.0007737,BTC
zcash,11,"$377,001,696",$42.04,ZEC,Equihash,75.0,40652186.6998438,4440302845.0,5.0,0.00582549,BTC
dogecoin,12,"$252,901,005",$0.002036,DOGE,Scrypt,62.0,2487291.67971587,172303813225686.0,10000.0,2.815e-07,BTC
bitcoingold,13,"$176,603,939",$10.08,BTG,Zhash,609.0,194497.154585954,2616290.0,12.5,0.001385,BTC
decred,14,"$143,131,093",$12.60,DCR,Blake (14r),242.0,24971658431.7757,4.4319196814611283e+17,9.234857748276793,0.00174502,BTC
algorand,15,"$138,458,865",$0.198008,,,,,,,,
digibyte,16,"$103,229,220",$0.007913,DGB,Scrypt,15.0,9283529.7889982,0.0,,,
ravencoin,17,"$102,730,006",$0.017212,RVN,X16Rv2,60.0,430233.000164346,30797277756097.0,5000.0,2.22e-06,BTC
bitcoindiamond,18,"$99,873,961",$0.535538,BCD,BCD,566.0,8278954.64482026,62823037887933.0,125.0,7.396e-05,BTC
monacoin,19,"$79,300,109",$1.21,MONA,Lyra2REv2,94.0,3364169.97035111,153712765966418.0,25.0,0.00016666,BTC
komodo,20,"$73,592,518",$0.616478,KMD,Equihash,60.0,317775038.083832,84740010.0,3.0,8.59e-05,BTC
abbccoin,21,"$65,739,351",$0.118360,,,,,,,,
energi,22,"$65,638,962",$2.34,,,,,,,,
bytom,23,"$59,600,867",$0.059452,BTM,Tensority,157.0,70816776044.8586,451062267.0,412.5,8.183e-06,BTC
siacoin,24,"$58,164,063",$0.001391,,,,,,,,
horizen,25,"$49,893,955",$5.62,ZEN,Equihash,151.0,10232993.1419903,555156819.0,7.5,0.00078,BTC
hypercash,26,"$47,194,955",$1.06,,,,,,,,
bytecoin,27,"$45,434,005",$0.000247,BCN,CryptoNight,124.0,29200254037.0,235485919.0,322.20699139,3.223e-08,BTC
verge,28,"$45,130,002",$0.002779,XVG,Scrypt,30.0,6645.61543,0.0,,,
zilliqa,29,"$43,850,925",$0.004359,,,,,,,,
zcoin,30,"$35,992,304",$3.63,XZC,MTP,292.0,6130.2581,90168691971.0,14.0,0.00047009,BTC
aeternity,31,"$31,887,047",$0.103660,AE,CuckooCycle,182.0,25875500.0,142173.0,177.309,1.44e-05,BTC
aion,32,"$26,948,986",$0.065663,AION,"Equihash (210,9)",11.0,14496187.0,1317835.0,4.5,9.12e-06,BTC
tomochain,33,"$24,908,167",$0.353863,,,,,,,,
cortex,34,"$24,527,548",$0.098134,,,,,,,,
elastos,35,"$21,631,216",$1.18,,,,,,,,
electroneum,36,"$19,746,613",$0.001961,,,,,,,,
grin,37,"$19,705,443",$0.499081,,,,,,,,
nuls,38,"$19,684,527",$0.203426,,,,,,,,
beam,39,"$16,547,146",$0.276353,BEAM,BeamHashII,60.0,101722156.0,1695369.0,40.0,3.81e-05,BTC
divi,40,"$15,514,766",$0.009525,,,,,,,,
ilcoin,41,"$14,326,428",$0.032904,,,,,,,,
