Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$163,967,261,615","$8,918.08",BTC,SHA-256,600.0,15138043247082.0,8.980303960172768e+19,6.97147894736842,8856.02986072423,BTC
ethereum,2,"$22,577,935,427",$203.25,ETH,Ethash,15.0,2256617175841140.0,160894532946943.0,2.0,0.0229926495688456,BTC
bitcoincash,3,"$4,202,058,345",$228.16,BCH,SHA-256,600.0,347734474132.43005,0.0,,,
bitcoinsv,4,"$3,397,828,011",$184.50,BSV,SHA-256,625.0,294857311750.248,1.9320631313269297e+18,6.25,0.0209193955431755,BTC
litecoin,5,"$2,759,689,381",$42.58,LTC,Scrypt,150.0,6860542.02199999,210470025838026.0,12.5,0.00483871168289291,BTC
cardano,6,"$1,379,383,610",$0.053202,,,,,,,,
monero,7,"$1,087,508,686",$61.88,XMR,RandomX,120.0,166376362440.742,1540107305.0,1.670238082739,0.00695611420612813,BTC
ethereumclassic,8,"$781,317,320",$6.72,ETC,Ethash,15.0,110432767593995.0,8518372581698.0,3.10400000000001,0.000766446592489568,BTC
dash,9,"$690,144,262",$72.56,DASH,X11,150.0,196092240.346729,6775715580312108.0,1.44236248422214,0.00821883838664813,BTC
zcash,10,"$419,090,279",$45.37,ZEC,Equihash,75.0,49040564.3765469,5657922065.0,5.0,0.00513676826147427,BTC
dogecoin,11,"$314,074,121",$0.002518,DOGE,Scrypt,60.0,3022286.15350801,172363861489255.0,10000.0,2.83294408901252e-07,BTC
digibyte,12,"$250,134,428",$0.018984,DGB,Scrypt,15.0,6688942.0566388,0.0,,,
decred,13,"$161,491,129",$14.00,DCR,Blake (14r),317.0,30112290914.4578,4.134961670697385e+17,9.05289456747067,0.00158208312934632,BTC
bitcoingold,14,"$154,454,265",$8.82,BTG,Zhash,605.0,76208.5337024961,1110181.0,6.25,0.000994809192200555,BTC
algorand,15,"$153,936,421",$0.214551,,,,,,,,
zilliqa,16,"$131,056,689",$0.012904,,,,,,,,
ravencoin,17,"$124,648,386",$0.019972,RVN,KawPow,60.0,49702.725596144,3860901078712.0,5000.0,2.26795264623954e-06,BTC
monacoin,18,"$105,631,996",$1.61,MONA,Lyra2REv2,90.0,3753358.85990245,208148988767337.0,25.0,0.000180406356050069,BTC
bitcoindiamond,19,"$104,541,199",$0.560564,BCD,BCD,516.0,9654394.61899441,102539281154464.0,125.0,6.35186490250697e-05,BTC
siacoin,20,"$97,349,064",$0.002328,,,,,,,,
electroneum,21,"$73,618,785",$0.007281,,,,,,,,
komodo,22,"$72,465,241",$0.604217,KMD,Equihash,59.0,268704082.701042,97690076.0,3.0,6.84615598885793e-05,BTC
energi,23,"$72,064,779",$2.46,,,,,,,,
bytom,24,"$68,628,273",$0.064033,BTM,Tensority,160.0,67742721398.0,423392008.0,412.5,7.08344784422818e-06,BTC
verge,25,"$67,267,225",$0.004132,XVG,Scrypt,30.0,21916.9015,0.0,,,
abbccoin,26,"$62,721,534",$0.112927,,,,,,,,
hypercash,27,"$57,133,370",$1.28,,,,,,,,
horizen,28,"$56,655,208",$6.19,ZEN,Equihash,150.0,9575298.18933247,605167740.0,7.5,0.000689890250696377,BTC
zcoin,29,"$48,237,709",$4.73,XZC,MTP,283.0,5258.15444285715,80642556362.0,14.0,0.000510949179415854,BTC
bytecoin,30,"$46,499,159",$0.000253,BCN,CryptoNight,116.0,31656889026.6864,281273637.0,290.907663023772,2.77023504867869e-08,BTC
aion,31,"$40,403,322",$0.096188,AION,"Equihash (210,9)",11.0,16214751.3300733,1761967.0,4.5,1.09476323119777e-05,BTC
aeternity,32,"$37,947,873",$0.121976,AE,CuckooCycle,177.0,21829323.8700565,145944.0,168.398999999999,1.34812674094708e-05,BTC
tomochain,33,"$29,598,759",$0.418163,,,,,,,,
divi,34,"$29,048,833",$0.017137,,,,,,,,
elastos,35,"$26,744,286",$1.45,,,,,,,,
nuls,36,"$24,125,621",$0.247998,,,,,,,,
cortex,37,"$23,554,327",$0.094240,,,,,,,,
beam,38,"$22,513,680",$0.360315,BEAM,BeamHashII,58.0,86304737.0692432,1620806.0,40.0,3.85638386648122e-05,BTC
grin,39,"$21,126,667",$0.494431,,,,,,,,
newton,40,"$16,543,389",$0.000804,,,,,,,,
syscoin,41,"$16,469,572",$0.028063,SYS,SHA-256,60.0,280970203568.25,0.0,,,
vertcoin,42,"$15,359,419",$0.279726,VTC,Lyra2REv3,150.0,71365.0927567153,2089002762172.0,25.0,3.04795966620305e-05,BTC
ilcoin,43,"$14,808,473",$0.031437,,,,,,,,
lbrycredits,44,"$14,273,914",$0.038659,,,,,,,,
counosx,45,"$356,785,307",$20.15,,,,,,,,
advancedinternetblocks,46,"$151,708,601",$0.006266,,,,,,,,
cryptonex,47,"$92,803,914",$1.67,,,,,,,,
counoscoin,48,"$72,819,767",$4.90,,,,,,,,
deviantcoin,49,"$39,551,566",$1.46,,,,,,,,
vitae,50,"$28,505,192",$1.46,,,,,,,,
helleniccoin,51,"$19,376,877",$0.278254,,,,,,,,
loki,52,"$16,420,763",$0.341902,,,,,,,,
edcblockchain,53,"$14,847,074",$0.005559,,,,,,,,
microbitcoin,54,"$12,920,086",$0.000068,,,,,,,,
fibos,55,"$12,703,302",$0.011946,,,,,,,,
groestlcoin,56,"$12,605,399",$0.167791,GRS,Groestl,60.0,1136504.03679564,81151759783145.0,5.0,1.85121974965231e-05,BTC
nexus,57,"$11,438,430",$0.176868,,,,,,,,
einsteinium,58,"$10,896,114",$0.049567,EMC2,Scrypt,60.0,999.419766525737,183646943480.0,1.95000000000002,5.12197496522946e-06,BTC
unobtanium,59,"$10,744,935",$53.14,,,,,,,,
burst,60,"$9,000,919",$0.004299,,,,,,,,
nkn,61,"$8,348,057",$0.017889,,,,,,,,
metaverseetp,62,"$8,280,254",$0.105823,,,,,,,,
otocash,63,"$7,974,620",$0.374117,,,,,,,,
polis,64,"$7,144,608",$0.726677,,,,,,,,
namecoin,65,"$6,663,735",$0.452196,NMC,SHA-256,600.0,13208707961210.002,0.0,,,
peercoin,66,"$6,484,463",$0.246846,PPC,SHA-256,600.0,2839876717.09776,4379551733100585.0,43.3146013917806,2.77182753824755e-05,BTC
bitcoinrhodium,67,"$6,005,280",$6.27,,,,,,,,
nimiq,68,"$5,573,424",$0.000932,,,,,,,,
lightningbitcoin,69,"$5,437,475",$1.41,,,,,,,,
zenon,70,"$5,352,640",$1.33,,,,,,,,
aeon,71,"$5,314,072",$0.335665,,,,,,,,
zvchain,72,"$4,908,160",$0.007841,,,,,,,,
smartcash,73,"$4,847,886",$0.003429,SMART,Keccak,56.0,278842.604267381,21094766117476.0,22.106040390417,3.78585674547984e-07,BTC
gulden,74,"$4,807,966",$0.009373,,,,,,,,
blockstamp,75,"$4,701,642",$0.178315,,,,,,,,
quantumresistantledger,76,"$4,669,666",$0.065580,,,,,,,,
mooncoin,77,"$4,619,516",$0.000020,,,,,,,,
piratechain,78,"$4,563,137",$0.028998,,,,,,,,
ubiq,79,"$4,542,122",$0.106600,UBQ,Ubqhash,89.0,5072452681618.03,42958209288.0,5.0,1.20537552155772e-05,BTC
observer,80,"$4,171,207",$0.001985,,,,,,,,
hycon,81,"$4,081,469",$0.001839,,,,,,,,
flo,82,"$4,033,004",$0.026472,,,,,,,,
bitcore,83,"$3,962,885",$0.223054,,,,,,,,
dero,84,"$3,502,278",$0.359733,,,,,,,,
ondori,85,"$3,366,170",$0.000089,,,,,,,,
viacoin,86,"$3,349,599",$0.144580,VIA,Scrypt,24.0,354326.111987169,56381183446719.0,0.625,1.57098052851182e-05,BTC
gamecredits,87,"$3,316,114",$0.047484,GAME,Scrypt,90.0,3843.77226433493,344964331491.0,6.25,5.22931849791379e-06,BTC
matrixainetwork,88,"$3,286,746",$0.015337,,,,,,,,
colossusxt,89,"$3,199,801",$0.000266,,,,,,,,
ddkoin,90,"$3,184,054",$1.86,,,,,,,,
electra,91,"$3,107,635",$0.000108,,,,,,,,
nix,92,"$3,101,146",$0.071711,,,,,,,,
stakecubecoin,93,"$3,038,508",$0.483952,,,,,,,,
zel,94,"$2,735,269",$0.026404,ZEL,ZelHash,121.0,2262.47625378311,135880.0,112.5,2.92662030598052e-06,BTC
litecoincash,95,"$2,648,363",$0.003915,LCC,SHA-256,75.0,113345276.456693,6202339909690545.0,125.000010681102,4.25688456189149e-07,BTC
digitalnote,96,"$2,628,444",$0.000357,,,,,,,,
ergo,97,"$2,520,860",$0.173727,,,,,,,,
infinitecoin,98,"$2,476,171",$0.000027,,,,,,,,
decoin,99,"$2,462,554",$0.092954,,,,,,,,
emercoin,100,"$2,354,592",$0.051668,,,,,,,,
