Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$167,407,941,429","$9,118.57",BTC,SHA-256,519.0,15958652328578.0,1.3206529834195907e+20,12.8785,9092.89,BTC
ethereum,2,"$23,932,259,644",$216.05,ETH,Ethash,13.3991,2262001255142570.0,168817402298853.0,2.0,0.02359605,BTC
bitcoincash,3,"$4,841,051,145",$263.15,BCH,SHA-256,600.0,228360750611.02002,0.0,,,
bitcoinsv,4,"$3,970,667,985",$215.85,BSV,SHA-256,585.0,203806768790.818,1.496313515658114e+18,6.25,0.023543,BTC
litecoin,5,"$3,192,671,922",$49.39,LTC,Scrypt,151.0,6171103.197,175527724578516.0,12.5,0.005398,BTC
cardano,6,"$1,323,874,760",$0.051061,,,,,,,,
monero,7,"$1,133,539,111",$64.60,XMR,RandomX,115.0,161021186636.0,1400184231.0,1.717755601731,0.007078,BTC
tron,8,"$1,089,769,531",$0.016343,,,,,,,,
ethereumclassic,9,"$866,882,538",$7.45,ETC,Ethash,12.982000000000001,113585670370741.0,8749473915478.0,3.104,0.0008155,BTC
dash,10,"$784,686,175",$82.82,DASH,X11,157.0,244774993.77638,6696182121962777.0,1.4423624842221359,0.00904391,BTC
zcash,11,"$424,719,104",$46.81,ZEC,Equihash,75.0,58325937.079299,6370747687.0,5.0,0.00511405,BTC
dogecoin,12,"$319,857,812",$0.002571,DOGE,Scrypt,63.0,2570528.79160033,175243445926187.0,10000.0,2.8024e-07,BTC
digibyte,13,"$253,675,722",$0.019368,DGB,Scrypt,15.0,6032397.0622994,0.0,,,
bitcoingold,14,"$181,193,746",$10.35,BTG,Zhash,600.0,102313.001057086,1396913.0,6.25,0.00113,BTC
decred,15,"$172,234,763",$15.06,DCR,Blake (14r),313.0,23120299598.6961,3.172553694892066e+17,9.14342351314534,0.00164202,BTC
algorand,16,"$152,223,262",$0.213187,,,,,,,,
ravencoin,17,"$131,291,428",$0.021612,RVN,X16Rv2,60.0,407098.78849499,29141266380453.0,5000.0,2.37e-06,BTC
bitcoindiamond,18,"$110,436,847",$0.592177,BCD,BCD,589.0,5022083.80026675,36620858539757.0,125.0,6.432e-05,BTC
energi,19,"$93,930,134",$3.29,,,,,,,,
monacoin,20,"$92,996,658",$1.41,MONA,Lyra2REv2,94.0,3157997.85892774,144292526860985.0,25.0,0.00015647,BTC
siacoin,21,"$90,947,639",$0.002175,,,,,,,,
bytom,22,"$71,539,871",$0.071362,BTM,Tensority,154.0,66660432148.0,432859949.0,412.5,7.713e-06,BTC
komodo,23,"$64,314,131",$0.537732,KMD,Equihash,60.0,198751012.331737,53000269.0,3.0,5.85e-05,BTC
zilliqa,24,"$62,961,065",$0.006235,,,,,,,,
abbccoin,25,"$62,903,048",$0.113254,,,,,,,,
horizen,26,"$54,931,116",$6.11,ZEN,Equihash,150.0,13402503.1883115,731955374.0,7.5,0.0006632,BTC
hypercash,27,"$53,281,988",$1.19,,,,,,,,
verge,28,"$51,088,524",$0.003143,XVG,Scrypt,30.0,11109.1901,0.0,,,
zcoin,29,"$43,551,909",$4.34,XZC,MTP,287.0,5733.1862,85797377111.0,14.0,0.00047288,BTC
aion,30,"$37,805,583",$0.090003,AION,"Equihash (210,9)",11.0,14481870.0,1316533.0,4.5,9.86e-06,BTC
