Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$110,396,384,423","$6,039.21",BTC,SHA-256,660.0,16552923967337.0,1.0771858650437422e+20,13.0597,5943.25,BTC
ethereum,2,"$14,327,761,483",$130.03,ETH,Ethash,13.427,2173345753772910.0,161863838070522.0,2.0,0.02155042,BTC
bitcoincash,3,"$3,866,550,139",$210.80,BCH,SHA-256,600.0,551430256874.47,0.0,,,
bitcoinsv,4,"$2,975,423,647",$162.24,BSV,SHA-256,560.0,422765030282.034,3.242432105274618e+18,12.5,0.027126,BTC
litecoin,5,"$2,397,984,865",$37.28,LTC,Scrypt,156.0,4858452.946,133762157129646.0,12.5,0.006198,BTC
cardano,6,"$742,473,332",$0.028637,,,,,,,,
tron,7,"$733,855,188",$0.011005,,,,,,,,
monero,8,"$685,261,774",$39.18,XMR,RandomX,118.0,140857462555.0,1193707309.0,1.822459653393,0.006507,BTC
dash,9,"$656,252,180",$69.87,DASH,X11,156.0,206325492.937186,5680520798053159.0,1.5533134445469152,0.01158702,BTC
ethereumclassic,10,"$565,203,459",$4.86,ETC,Ethash,13.3457,128269425923289.0,9611292470480.0,3.104,0.0008077,BTC
zcash,11,"$314,025,192",$33.11,ZEC,Equihash,75.0,44763746.7938524,4889394849.0,5.0,0.00547336,BTC
dogecoin,12,"$214,186,313",$0.001730,DOGE,Scrypt,62.0,2288440.25375893,158528645947492.0,10000.0,2.8656e-07,BTC
bitcoingold,13,"$128,889,878",$7.36,BTG,Zhash,622.0,150056.655364271,1976308.0,12.5,0.001206,BTC
decred,14,"$115,033,112",$10.66,DCR,Blake (14r),322.0,27439828043.8709,3.6600361508164346e+17,9.32720632575956,0.00176734,BTC
algorand,15,"$100,162,454",$0.152062,,,,,,,,
bitcoindiamond,16,"$93,577,216",$0.501774,BCD,BCD,600.0,3398495.47656434,24327378212412.0,125.0,8.262e-05,BTC
ravencoin,17,"$83,404,522",$0.014463,RVN,X16Rv2,61.0,379591.665363954,26726783419218.0,5000.0,2.37e-06,BTC
monacoin,18,"$78,773,484",$1.20,MONA,Lyra2REv2,94.0,1505546.86121792,68790154590706.0,25.0,0.00019944,BTC
bytom,19,"$55,236,564",$0.055099,,,,,,,,
siacoin,20,"$52,378,695",$0.001253,,,,,,,,
abbccoin,21,"$51,572,473",$0.092854,,,,,,,,
