Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$170,088,741,326","$9,251.77",BTC,SHA-256,600.0,15138043247082.0,9.341580556271672e+19,7.28760576923076,9191.80490959666,BTC
ethereum,2,"$23,312,194,858",$209.91,ETH,Ethash,15.0,2298688594146730.0,166512418020146.0,2.0,0.0225768171488178,BTC
bitcoincash,3,"$4,348,413,604",$236.13,BCH,SHA-256,600.0,348708826674.18,0.0,,,
bitcoinsv,4,"$3,580,852,625",$194.46,BSV,SHA-256,584.0,278064582077.032,2.1765087567112602e+18,6.25,0.0210291283124129,BTC
litecoin,5,"$2,865,820,321",$44.23,LTC,Scrypt,150.0,6355065.21381681,218265211980175.0,12.5,0.00479766801112656,BTC
cardano,6,"$1,443,576,906",$0.055678,,,,,,,,
monero,7,"$1,112,968,001",$63.34,XMR,RandomX,120.0,154854738843.909,1231759572.0,1.67355519863,0.00690552573018082,BTC
ethereumclassic,8,"$779,060,166",$6.70,ETC,Ethash,15.0,109872498551041.0,8638834935194.0,3.10400000000001,0.000714942976356049,BTC
dash,9,"$710,967,836",$74.78,DASH,X11,150.0,191620392.372258,5961468216245867.0,1.44236248422214,0.00804547709318497,BTC
zcash,10,"$437,632,350",$47.45,ZEC,Equihash,75.0,52930530.7029839,5345131952.0,5.0,0.00513493184979137,BTC
dogecoin,11,"$316,978,608",$0.002542,DOGE,Scrypt,60.0,2844139.08562811,155523101225644.0,10000.0,2.75494019471488e-07,BTC
digibyte,12,"$274,879,328",$0.020873,DGB,Scrypt,15.0,6750378.1982944,0.0,,,
decred,13,"$161,036,681",$13.97,DCR,Blake (14r),298.0,28917861131.508,4.187206900590423e+17,9.05289456747066,0.00150464160167131,BTC
bitcoingold,14,"$159,014,525",$9.08,BTG,Zhash,593.0,80758.7856999892,1043299.0,6.25,0.00096356328233658,BTC
algorand,15,"$150,589,931",$0.210298,,,,,,,,
ravencoin,16,"$121,427,926",$0.019501,RVN,KawPow,60.0,50096.2845699955,3746265728952.0,5000.0,2.09421418636999e-06,BTC
