Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$167,310,501,241","$9,101.37",BTC,SHA-256,600.0,15138043247082.0,9.36850153770185e+19,7.81552380952381,9140.90476323121,BTC
ethereum,2,"$22,455,189,096",$202.24,ETH,Ethash,15.0,2260384215248760.0,170799986220850.0,2.0,0.0219055074422442,BTC
bitcoincash,3,"$4,259,516,097",$231.32,BCH,SHA-256,600.0,342931836370.34,0.0,,,
bitcoinsv,4,"$3,574,055,338",$194.11,BSV,SHA-256,575.0,260374254593.343,2.03544489359264e+18,6.25,0.0209936092715232,BTC
litecoin,5,"$2,811,258,307",$43.40,LTC,Scrypt,150.0,6222934.49799999,195089782146424.0,12.5,0.0047044582172702,BTC
cardano,6,"$1,379,498,398",$0.053207,,,,,,,,
monero,7,"$1,094,184,424",$62.28,XMR,RandomX,120.0,166348648399.138,1321848108.0,1.67924001405226,0.00679038997214484,BTC
ethereumclassic,8,"$736,737,075",$6.33,ETC,Ethash,15.0,106162846768717.0,8123443976073.0,3.10400000000001,0.000678546592489569,BTC
dash,9,"$711,844,306",$74.89,DASH,X11,150.0,208427294.30606,4703433217128060.0,1.44236248422214,0.00796877818481849,BTC
zcash,10,"$437,897,300",$47.55,ZEC,Equihash,75.0,50400333.4712779,6874547163.0,5.0,0.0049602056270627,BTC
dogecoin,11,"$313,296,597",$0.002513,DOGE,Scrypt,60.0,2823842.39104792,271196356505734.0,10000.0,2.71925618915159e-07,BTC
digibyte,12,"$228,752,953",$0.017379,DGB,Scrypt,15.0,2532258683.8383,0.0,,,
decred,13,"$156,558,878",$13.59,DCR,Blake (14r),257.0,23862172761.1648,4.520946779845541e+17,9.05289456747065,0.00145205470097357,BTC
bitcoingold,14,"$151,095,623",$8.63,BTG,Zhash,586.0,73218.2164776968,1013792.0,6.25,0.000948020891364898,BTC
algorand,15,"$139,185,443",$0.194752,,,,,,,,
ravencoin,16,"$116,382,701",$0.018733,RVN,KawPow,60.0,48853.9424390461,3746128785682.0,5000.0,2.02451253481896e-06,BTC
monacoin,17,"$104,012,908",$1.58,MONA,Lyra2REv2,90.0,2020331.83006948,97594530080338.0,25.0,0.000172123240611961,BTC
zilliqa,18,"$102,933,051",$0.010145,,,,,,,,
