Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$173,626,745,974","$9,448.07",BTC,SHA-256,600.0,16104807485529.0,8.936643599318224e+19,7.14837171717172,9184.97541029209,BTC
ethereum,2,"$22,092,108,117",$199.17,ETH,Ethash,15.0,2266687260231610.0,168475546245075.0,2.0,0.0213650236439499,BTC
bitcoincash,3,"$4,399,736,612",$239.03,BCH,SHA-256,600.0,343113093435.97003,0.0,,,
bitcoinsv,4,"$3,510,634,981",$190.74,BSV,SHA-256,626.0,296451252933.843,1.937291649352179e+18,6.25,0.0206071126564673,BTC
litecoin,5,"$2,769,595,179",$42.79,LTC,Scrypt,150.0,6370349.18109779,167093744599298.0,12.5,0.00466791794158553,BTC
cardano,6,"$1,318,105,257",$0.050839,,,,,,,,
monero,7,"$1,111,982,919",$63.33,XMR,RandomX,120.0,164697281104.379,1619535651.0,1.69866127425591,0.00700249652294854,BTC
ethereumclassic,8,"$719,031,313",$6.18,ETC,Ethash,15.0,109133715705487.0,8252346447968.0,3.10400000000001,0.000671021001390821,BTC
dash,9,"$698,093,593",$73.55,DASH,X11,150.0,236354399.622023,4222734773593999.0,1.44236248422214,0.00798321646731572,BTC
zcash,10,"$389,468,410",$42.56,ZEC,Equihash,75.0,55502447.0044966,6521759796.0,5.0,0.00462552746870654,BTC
dogecoin,11,"$318,406,062",$0.002556,DOGE,Scrypt,60.0,2605788.22811488,178401214702623.0,10000.0,2.72491585535466e-07,BTC
digibyte,12,"$292,094,299",$0.022238,DGB,Scrypt,15.0,10389843.991533,0.0,,,
bitcoingold,13,"$159,376,561",$9.10,BTG,Zhash,603.0,77376.566641993,1110125.0,6.25,0.000985328233657859,BTC
decred,14,"$156,469,771",$13.62,DCR,Blake (14r),244.0,22275793750.1083,4.3323280981019757e+17,9.05289456747064,0.00145767944367177,BTC
algorand,15,"$141,364,015",$0.199379,,,,,,,,
