Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$130,099,061,166","$7,093.38",BTC,SHA-256,691.0,15958652328578.0,9.919231525249892e+19,12.7525,7089.41,BTC
ethereum,2,"$20,121,061,796",$181.87,ETH,Ethash,13.3054,2318441198804710.0,174248139763157.0,2.0,0.02559613,BTC
bitcoincash,3,"$4,220,320,736",$229.52,BCH,SHA-256,600.0,271747226302.22998,0.0,,,
bitcoinsv,4,"$3,498,530,798",$190.28,BSV,SHA-256,589.0,211063024757.908,1.539064157436423e+18,6.25,0.02677,BTC
litecoin,5,"$2,685,244,151",$41.58,LTC,Scrypt,157.0,6058082.193,165727801881623.0,12.5,0.0058494,BTC
monero,6,"$996,404,743",$56.83,XMR,RandomX,117.0,140545398348.0,1201242720.0,1.741664485892,0.008027,BTC
cardano,7,"$967,672,881",$0.037323,,,,,,,,
tron,8,"$862,103,621",$0.012929,,,,,,,,
dash,9,"$758,798,243",$80.27,DASH,X11,156.0,160730908.857144,4425217929473014.0,1.5533134445469152,0.011305,BTC
ethereumclassic,10,"$622,424,861",$5.35,ETC,Ethash,12.898,115653664688031.0,8966790563500.0,3.104,0.0007541,BTC
zcash,11,"$400,890,218",$44.54,ZEC,Equihash,75.0,42731551.6286138,4667424945.0,5.0,0.00627693,BTC
dogecoin,12,"$249,832,632",$0.002011,DOGE,Scrypt,62.0,2042584.89085728,141497343637673.0,10000.0,2.8255e-07,BTC
bitcoingold,13,"$158,847,822",$9.07,BTG,Zhash,591.0,152918.305563591,2119639.0,6.25,0.0012714,BTC
decred,14,"$138,638,141",$12.17,DCR,Blake (14r),299.0,22185168196.8487,3.186774978652992e+17,9.14342351314534,0.00171252,BTC
algorand,15,"$129,194,653",$0.183858,,,,,,,,
digibyte,16,"$116,033,868",$0.008883,DGB,Scrypt,15.0,188104.81679925,0.0,,,
ravencoin,17,"$99,973,788",$0.016653,RVN,X16Rv2,59.0,422244.882656081,30737762066291.0,5000.0,2.35e-06,BTC
bitcoindiamond,18,"$95,443,450",$0.511781,BCD,BCD,585.0,7279494.50847458,53444770675743.0,125.0,7.185e-05,BTC
monacoin,19,"$77,163,964",$1.17,MONA,Lyra2REv2,93.0,4126055.81951095,190551342002903.0,25.0,0.00016358,BTC
energi,20,"$67,638,366",$2.39,,,,,,,,
komodo,21,"$64,336,897",$0.538707,KMD,Equihash,60.0,178360144.610313,47562705.0,3.0,7.6e-05,BTC
abbccoin,22,"$59,665,782",$0.107425,,,,,,,,
siacoin,23,"$56,362,336",$0.001348,,,,,,,,
bytom,24,"$56,324,367",$0.056184,BTM,Tensority,145.0,73257030746.171,505220901.0,412.5,7.8e-06,BTC
horizen,25,"$55,152,028",$6.19,ZEN,Equihash,153.0,9961355.62613757,533355720.0,7.5,0.000862,BTC
hypercash,26,"$44,547,899",$0.999139,,,,,,,,
verge,27,"$43,585,374",$0.002683,XVG,Scrypt,30.0,16762.7509,0.0,,,
bytecoin,28,"$43,553,126",$0.000237,BCN,CryptoNight,113.0,27501008729.0,243371758.0,317.97858361,3e-08,BTC
zilliqa,29,"$41,760,749",$0.004146,,,,,,,,
