Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$169,417,813,494","$9,230.98",BTC,SHA-256,614.0,15958652328578.0,1.1163174240957127e+20,12.9619,9195.01,BTC
ethereum,2,"$24,619,285,596",$222.34,ETH,Ethash,13.2907,2291457761115390.0,172410615025197.0,2.0,0.02399948,BTC
bitcoincash,3,"$4,968,196,626",$270.10,BCH,SHA-256,600.0,227066161608.32,0.0,,,
bitcoinsv,4,"$4,072,773,838",$221.43,BSV,SHA-256,563.0,230926618187.558,1.7616736641055782e+18,6.25,0.023987,BTC
litecoin,5,"$3,204,609,394",$49.59,LTC,Scrypt,153.0,6171103.197,173233244518666.0,12.5,0.005348,BTC
cardano,6,"$1,367,091,972",$0.052728,,,,,,,,
monero,7,"$1,178,210,133",$67.16,XMR,RandomX,123.0,136486368066.0,1109645268.0,1.757295392272,0.007287,BTC
tron,8,"$1,081,449,269",$0.016218,,,,,,,,
dash,9,"$820,414,745",$86.63,DASH,X11,158.0,149023506.733949,4050956251630043.0,1.4423624842221359,0.00932105,BTC
ethereumclassic,10,"$793,898,312",$6.83,ETC,Ethash,13.1469,107189332412571.0,8153202079012.0,3.104,0.000739,BTC
zcash,11,"$433,308,997",$47.87,ZEC,Equihash,75.0,44551531.8634494,4866215320.0,5.0,0.00517918,BTC
dogecoin,12,"$325,684,612",$0.002619,DOGE,Scrypt,63.0,2005923.5694113,136752002045986.0,10000.0,2.835e-07,BTC
digibyte,13,"$196,751,423",$0.015034,DGB,Scrypt,15.0,11415850.929366,0.0,,,
bitcoingold,14,"$186,348,007",$10.64,BTG,Zhash,606.0,108878.887979796,1471841.0,6.25,0.00115,BTC
algorand,15,"$161,384,548",$0.226703,,,,,,,,
decred,16,"$160,534,810",$14.05,DCR,Blake (14r),291.0,25120280445.4588,3.707587043972299e+17,9.14342351314534,0.00153003,BTC
ravencoin,17,"$120,794,615",$0.019957,RVN,X16Rv2,60.0,435088.714018944,31144863292834.0,5000.0,2.16e-06,BTC
bitcoindiamond,18,"$116,012,324",$0.622074,BCD,BCD,680.0,6625179.11603608,41845481813995.0,125.0,6.723e-05,BTC
energi,19,"$106,049,430",$3.72,,,,,,,,
siacoin,20,"$97,050,547",$0.002321,,,,,,,,
monacoin,21,"$95,584,661",$1.45,MONA,Lyra2REv2,94.0,3701205.29771362,169112294781510.0,25.0,0.00015681,BTC
bytom,22,"$70,716,669",$0.070540,BTM,Tensority,148.0,67267037433.0,454507009.0,412.5,7.671e-06,BTC
komodo,23,"$65,926,208",$0.551608,KMD,Equihash,61.0,179370700.094466,47048052.0,3.0,6.04e-05,BTC
abbccoin,24,"$64,046,297",$0.115312,,,,,,,,
horizen,25,"$56,303,158",$6.28,ZEN,Equihash,151.0,11663501.4134938,632764262.0,7.5,0.0006706,BTC
zilliqa,26,"$55,407,240",$0.005491,,,,,,,,
verge,27,"$52,941,929",$0.003257,XVG,Scrypt,30.0,24341.858,0.0,,,
hypercash,28,"$52,116,588",$1.17,,,,,,,,
bytecoin,29,"$50,630,472",$0.000275,BCN,CryptoNight,124.0,29031021723.0,234121142.0,311.96513574,3e-08,BTC
