Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$139,004,200,816","$7,577.50",BTC,SHA-256,657.0,15958652328578.0,1.0432555531122794e+20,12.7604,7552.52,BTC
ethereum,2,"$21,565,199,216",$194.87,ETH,Ethash,13.4655,2217286109936570.0,164664224123617.0,2.0,0.02566281,BTC
bitcoincash,3,"$4,444,575,854",$241.69,BCH,SHA-256,600.0,289828148107.94,0.0,,,
bitcoinsv,4,"$3,599,465,210",$195.75,BSV,SHA-256,603.0,206268197559.643,1.4691793743342185e+18,6.25,0.025829,BTC
litecoin,5,"$2,915,231,963",$45.14,LTC,Scrypt,146.0,6058082.193,178214143119280.0,12.5,0.005935,BTC
cardano,6,"$1,116,442,850",$0.043061,,,,,,,,
monero,7,"$1,078,415,947",$61.50,XMR,RandomX,120.0,158562182232.0,1321351518.0,1.739655376457,0.008114,BTC
tron,8,"$929,184,414",$0.013935,,,,,,,,
dash,9,"$783,023,665",$82.80,DASH,X11,154.0,292965780.055394,8170639247954844.0,1.5533134445469152,0.01091176,BTC
ethereumclassic,10,"$661,403,556",$5.69,ETC,Ethash,13.1817,105019620133506.0,7967077094267.0,3.104,0.0007503,BTC
zcash,11,"$401,996,578",$44.59,ZEC,Equihash,75.0,43282238.7144952,4727574660.0,5.0,0.005874,BTC
dogecoin,12,"$262,035,768",$0.002108,DOGE,Scrypt,62.0,2205929.55550161,152812827389665.0,10000.0,2.7726e-07,BTC
digibyte,13,"$170,675,509",$0.013059,DGB,Scrypt,15.0,754625226.5274,0.0,,,
bitcoingold,14,"$165,757,347",$9.46,BTG,Zhash,627.0,105869.636237586,1383228.0,6.25,0.0012397,BTC
algorand,15,"$152,330,660",$0.215047,,,,,,,,
decred,16,"$144,088,251",$12.63,DCR,Blake (14r),306.0,22804723246.2834,3.200834658075757e+17,9.14342351314534,0.00167273,BTC
ravencoin,17,"$108,495,268",$0.018031,RVN,X16Rv2,60.0,400140.64147267,28643182815426.0,5000.0,2.29e-06,BTC
bitcoindiamond,18,"$101,134,659",$0.542298,BCD,BCD,632.0,7488879.6975827,50893185735436.0,125.0,7.09e-05,BTC
monacoin,19,"$79,374,540",$1.21,MONA,Lyra2REv2,94.0,3776425.14111428,172549175285936.0,25.0,0.00015696,BTC
energi,20,"$78,628,953",$2.77,,,,,,,,
komodo,21,"$66,345,994",$0.555394,KMD,Equihash,59.0,246925620.907328,66962880.0,3.0,7.33e-05,BTC
abbccoin,22,"$63,624,128",$0.114552,,,,,,,,
bytom,23,"$60,361,917",$0.060211,BTM,Tensority,146.0,71164198687.0,487426018.0,412.5,7.872e-06,BTC
siacoin,24,"$59,324,106",$0.001419,,,,,,,,
horizen,25,"$54,942,180",$6.16,ZEN,Equihash,149.0,12592915.966339,692356829.0,7.5,0.0008011,BTC
hypercash,26,"$47,276,452",$1.06,,,,,,,,
zilliqa,27,"$47,129,488",$0.004677,,,,,,,,
verge,28,"$46,780,190",$0.002879,XVG,Scrypt,30.0,25838.0364,0.0,,,
bytecoin,29,"$44,711,302",$0.000243,BCN,CryptoNight,134.0,23635806131.0,176386612.0,316.36697305,3e-08,BTC
zcoin,30,"$40,973,959",$4.11,XZC,MTP,313.0,6202.5974,85111670873.0,14.0,0.00053479,BTC
aion,31,"$35,772,900",$0.087163,AION,"Equihash (210,9)",11.0,8894937.0,808630.0,4.5,1.161e-05,BTC
aeternity,32,"$31,927,893",$0.103576,AE,CuckooCycle,176.0,30104300.0,171047.0,175.527,1.371e-05,BTC
tomochain,33,"$24,331,841",$0.345321,,,,,,,,
elastos,34,"$23,282,147",$1.26,,,,,,,,
electroneum,35,"$23,011,508",$0.002284,,,,,,,,
cortex,36,"$22,724,236",$0.090919,,,,,,,,
nuls,37,"$20,378,710",$0.210398,,,,,,,,
grin,38,"$19,855,893",$0.495547,,,,,,,,
beam,39,"$17,571,020",$0.291547,BEAM,BeamHashII,60.0,102230080.0,1703834.0,40.0,3.853e-05,BTC
vertcoin,40,"$16,350,346",$0.300217,VTC,Lyra2REv3,144.0,63761.364628335,1901756776576.0,25.0,3.904e-05,BTC
divi,41,"$15,639,629",$0.009530,,,,,,,,
ilcoin,42,"$15,344,355",$0.034708,,,,,,,,
groestlcoin,43,"$12,629,343",$0.168585,GRS,Groestl,63.0,1200605.00135403,81850146289358.0,5.0,2.233e-05,BTC
loki,44,"$12,236,699",$0.257731,,,,,,,,
syscoin,45,"$11,872,574",$0.020321,SYS,SHA-256,60.0,228906287211.95,0.0,,,
cryptonex,46,"$96,719,520",$1.74,,,,,,,,
counoscoin,47,"$72,055,080",$4.85,,,,,,,,
vitae,48,"$30,427,695",$1.56,,,,,,,,
edcblockchain,49,"$15,979,576",$0.005983,,,,,,,,
microbitcoin,50,"$12,288,742",$0.000065,,,,,,,,
fibos,51,"$11,389,898",$0.010720,,,,,,,,
unobtanium,52,"$10,842,292",$53.66,,,,,,,,
nexus,53,"$10,426,504",$0.161221,,,,,,,,
newton,54,"$9,153,780",$0.000445,,,,,,,,
lbrycredits,55,"$8,780,610",$0.024831,,,,,,,,
einsteinium,56,"$8,656,250",$0.039404,EMC2,Scrypt,19.0,622.67965117543,140757301983.0,1.95,5.17e-06,BTC
aeon,57,"$8,467,269",$0.534838,,,,,,,,
burst,58,"$7,831,867",$0.003747,,,,,,,,
otocash,59,"$7,538,672",$0.353665,,,,,,,,
metaverseetp,60,"$7,495,330",$0.096030,,,,,,,,
nkn,61,"$7,456,312",$0.015978,,,,,,,,
polis,62,"$7,376,453",$0.750258,,,,,,,,
mircoin,63,"$7,335,050",$0.008329,,,,,,,,
zvchain,64,"$7,239,530",$0.013486,,,,,,,,
namecoin,65,"$5,906,206",$0.400790,NMC,SHA-256,600.0,13904616840200.0,0.0,,,
gulden,66,"$5,831,353",$0.011419,,,,,,,,
lightningbitcoin,67,"$5,520,164",$1.43,,,,,,,,
peercoin,68,"$5,409,524",$0.206704,PPC,SHA-256,2700.0,1865427878.5812,2967389530204782.0,48.1129462963028,2.829e-05,BTC
quantumresistantledger,69,"$4,834,219",$0.068134,,,,,,,,
piratechain,70,"$4,558,338",$0.029494,,,,,,,,
zenon,71,"$4,454,136",$1.15,,,,,,,,
mooncoin,72,"$4,080,740",$0.000018,,,,,,,,
electra,73,"$3,604,332",$0.000126,,,,,,,,
flo,74,"$3,575,766",$0.023471,,,,,,,,
matrixainetwork,75,"$3,563,398",$0.016848,,,,,,,,
ddkoin,76,"$3,520,859",$2.06,,,,,,,,
bitcore,77,"$3,395,966",$0.191718,,,,,,,,
dero,78,"$3,391,184",$0.351169,,,,,,,,
gamecredits,79,"$3,289,884",$0.047109,GAME,Scrypt,44.0,4732.6793307761,461970521548.0,6.25,6.09e-06,BTC
credittagchain,80,"$3,222,435",$0.053935,,,,,,,,
helleniccoin,81,"$3,160,069",$0.045408,,,,,,,,
bitgreen,82,"$3,154,267",$0.294227,,,,,,,,
nimiq,83,"$3,031,928",$0.000520,,,,,,,,
smartcash,84,"$3,022,736",$0.002138,SMART,Keccak,54.0,195181.220364979,15524017745573.0,22.77673655553524,2.812e-07,BTC
emercoin,85,"$3,022,657",$0.066467,,,,,,,,
zel,86,"$3,003,347",$0.029953,ZEL,ZelHash,121.0,2828.78732058929,191515.0,112.5,3.99e-06,BTC
viacoin,87,"$2,940,783",$0.126940,VIA,Scrypt,24.0,374184.53273509,66962930448593.0,0.625,1.68e-05,BTC
ondori,88,"$2,859,099",$0.000076,,,,,,,,
hycon,89,"$2,787,662",$0.001266,,,,,,,,
observer,90,"$2,747,188",$0.001308,,,,,,,,
colossusxt,91,"$2,714,228",$0.000227,,,,,,,,
ubiq,92,"$2,680,538",$0.062910,UBQ,Ubqhash,87.0,4111450568521.0,47258052511.0,5.0,8.15e-06,BTC
litecoincash,93,"$2,646,641",$0.003935,LCC,SHA-256,150.0,87893448.0,2516663231284510.0,125.0000222,5e-07,BTC
bitcoinrhodium,94,"$2,606,897",$3.12,,,,,,,,
blockstamp,95,"$2,498,910",$0.094930,,,,,,,,
nix,96,"$2,399,977",$0.055497,,,,,,,,
nexty,97,"$2,140,279",$0.000014,,,,,,,,
htmlcoin,98,"$2,029,731",$0.000038,,,,,,,,
myriad,99,"$1,964,330",$0.001136,,,,,,,,
feathercoin,100,"$1,939,761",$0.007040,FTC,NeoScrypt,62.0,90.107149187116,6242052562.0,40.0,9.2e-07,BTC
