Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$145,643,506,967","$7,936.31",BTC,SHA-256,546.0,15958652328578.0,1.2553459677559846e+20,12.676,7942.0,BTC
ethereum,2,"$22,716,562,996",$205.18,ETH,Ethash,13.3456,2186406003651960.0,163829726925125.0,2.0,0.0258227,BTC
bitcoincash,3,"$4,504,180,150",$244.88,BCH,SHA-256,600.0,253084666054.24002,0.0,,,
bitcoinsv,4,"$3,634,079,566",$197.59,BSV,SHA-256,588.0,209355181767.549,1.529206902958773e+18,6.25,0.024979,BTC
litecoin,5,"$2,977,454,850",$46.08,LTC,Scrypt,131.0,5867504.283,192372053470419.0,12.5,0.005785,BTC
cardano,6,"$1,241,814,433",$0.047896,,,,,,,,
monero,7,"$1,116,652,226",$63.66,XMR,RandomX,120.0,151212950031.0,1260107916.0,1.790353300829,0.008018,BTC
tron,8,"$1,020,757,104",$0.015308,,,,,,,,
dash,9,"$787,135,250",$83.18,DASH,X11,157.0,155021843.968091,4240851910882584.0,1.4423624842221359,0.010471,BTC
ethereumclassic,10,"$743,586,486",$6.39,ETC,Ethash,13.2175,104266542244035.0,7888522204958.0,3.104,0.0008031,BTC
zcash,11,"$406,223,612",$44.92,ZEC,Equihash,75.0,49211020.6050732,5375155743.0,5.0,0.00559428,BTC
dogecoin,12,"$294,678,373",$0.002370,DOGE,Scrypt,62.0,1793787.46343071,124262233732414.0,10000.0,2.9823e-07,BTC
digibyte,13,"$200,845,925",$0.015351,DGB,Scrypt,15.0,116081.56328549,0.0,,,
bitcoingold,14,"$168,506,244",$9.62,BTG,Zhash,603.0,96895.897485646,1316370.0,6.25,0.0012168,BTC
algorand,15,"$154,313,378",$0.216981,,,,,,,,
decred,16,"$150,609,165",$13.19,DCR,Blake (14r),276.0,19212170573.3137,2.9896972571578234e+17,9.14342351314534,0.00166586,BTC
ravencoin,17,"$119,421,440",$0.019753,RVN,X16Rv2,60.0,425872.423037579,30485135486911.0,5000.0,2.4e-06,BTC
bitcoindiamond,18,"$102,491,806",$0.549575,BCD,BCD,534.0,7386000.79644234,59405677657209.0,125.0,6.851e-05,BTC
energi,19,"$94,664,150",$3.33,,,,,,,,
monacoin,20,"$83,097,263",$1.26,MONA,Lyra2REv2,94.0,4535869.84554455,207249070697089.0,25.0,0.00015828,BTC
siacoin,21,"$73,291,077",$0.001753,,,,,,,,
bytom,22,"$67,403,806",$0.067236,BTM,Tensority,152.0,67267037433.0,442546298.0,412.5,8.524e-06,BTC
abbccoin,23,"$65,654,644",$0.118208,,,,,,,,
komodo,24,"$65,471,191",$0.547860,KMD,Equihash,60.0,229335714.563209,61156190.0,3.0,7e-05,BTC
horizen,25,"$55,248,915",$6.17,ZEN,Equihash,149.0,11975401.6884571,658405977.0,7.5,0.0007674,BTC
zilliqa,26,"$50,847,703",$0.005041,,,,,,,,
verge,27,"$49,413,374",$0.003041,XVG,Scrypt,30.0,15769.6722,0.0,,,
hypercash,28,"$48,673,423",$1.09,,,,,,,,
zcoin,29,"$40,074,637",$4.01,XZC,MTP,306.0,6135.5476,86117569558.0,14.0,0.00049943,BTC
aeternity,30,"$34,274,991",$0.111056,AE,CuckooCycle,180.0,25412550.0,141180.0,174.636,1.393e-05,BTC
aion,31,"$33,815,969",$0.082395,AION,"Equihash (210,9)",11.0,10294079.0,935825.0,4.5,1.039e-05,BTC
electroneum,32,"$30,978,865",$0.003073,,,,,,,,
elastos,33,"$25,603,945",$1.39,,,,,,,,
tomochain,34,"$25,284,676",$0.358631,,,,,,,,
cortex,35,"$22,191,194",$0.088787,,,,,,,,
grin,36,"$21,061,753",$0.521203,,,,,,,,
nuls,37,"$20,661,020",$0.213193,,,,,,,,
beam,38,"$20,376,145",$0.336817,BEAM,BeamHashII,60.0,102077528.0,1701292.0,40.0,4.15e-05,BTC
ilcoin,39,"$18,757,197",$0.042065,,,,,,,,
divi,40,"$17,753,206",$0.010781,,,,,,,,
vertcoin,41,"$15,717,920",$0.288300,VTC,Lyra2REv3,157.0,67605.373294086,1849445014853.0,25.0,3.67e-05,BTC
syscoin,42,"$12,743,876",$0.021805,SYS,SHA-256,60.0,243055560516.56,0.0,,,
groestlcoin,43,"$12,247,809",$0.163433,GRS,Groestl,62.0,1077680.44303214,74654875134868.0,5.0,2.004e-05,BTC
cryptonex,44,"$100,094,331",$1.80,,,,,,,,
counoscoin,45,"$71,628,787",$4.82,,,,,,,,
bytecoin,46,"$45,414,748",$0.000247,BCN,CryptoNight,119.0,32297232325.0,271405313.0,312.76349228,3e-08,BTC
vitae,47,"$30,024,291",$1.54,,,,,,,,
edcblockchain,48,"$15,624,692",$0.005851,,,,,,,,
loki,49,"$12,316,859",$0.259071,,,,,,,,
unobtanium,50,"$11,703,418",$57.92,,,,,,,,
fibos,51,"$10,909,131",$0.010266,,,,,,,,
nexus,52,"$10,801,019",$0.167012,,,,,,,,
microbitcoin,53,"$10,741,477",$0.000057,,,,,,,,
newton,54,"$9,793,415",$0.000476,,,,,,,,
lbrycredits,55,"$9,615,723",$0.027087,,,,,,,,
einsteinium,56,"$8,967,981",$0.040819,EMC2,Scrypt,48.0,777.59605975188,69578117627.0,1.95,4.93e-06,BTC
burst,57,"$8,541,399",$0.004085,,,,,,,,
metaverseetp,58,"$7,810,832",$0.100041,,,,,,,,
polis,59,"$7,779,008",$0.791202,,,,,,,,
otocash,60,"$7,479,556",$0.350892,,,,,,,,
nkn,61,"$7,420,872",$0.015902,,,,,,,,
aeon,62,"$7,068,202",$0.446466,,,,,,,,
zvchain,63,"$6,390,841",$0.011062,,,,,,,,
peercoin,64,"$5,636,054",$0.215293,PPC,SHA-256,2700.0,1902265937.73813,3025988885511126.0,47.87830428557865,2.827e-05,BTC
lightningbitcoin,65,"$5,498,610",$1.42,,,,,,,,
quantumresistantledger,66,"$5,411,675",$0.076237,,,,,,,,
gulden,67,"$5,335,587",$0.010442,,,,,,,,
namecoin,68,"$5,292,779",$0.359164,NMC,SHA-256,600.0,13728172187069.998,0.0,,,
bitcoinrhodium,69,"$4,814,791",$5.76,,,,,,,,
