Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$162,925,756,723","$8,861.79",BTC,SHA-256,600.0,15138043247082.0,8.76245292070766e+19,6.91797572815534,8981.67143454038,BTC
ethereum,2,"$22,655,864,393",$203.98,ETH,Ethash,15.0,2291663481673360.0,170228637441130.0,2.0,0.0228259209040334,BTC
bitcoincash,3,"$4,206,587,813",$228.41,BCH,SHA-256,600.0,360966504156.88,0.0,,,
bitcoinsv,4,"$3,414,642,588",$185.43,BSV,SHA-256,565.0,288648553773.656,2.256066827679147e+18,6.25,0.0211052447844228,BTC
litecoin,5,"$2,777,942,090",$42.86,LTC,Scrypt,150.0,6860542.02199999,210470025838026.0,12.5,0.00480796100278552,BTC
cardano,6,"$1,372,000,353",$0.052918,,,,,,,,
monero,7,"$1,081,782,303",$61.56,XMR,RandomX,120.0,155029811966.143,1299634749.0,1.67067219489645,0.00691912952646239,BTC
ethereumclassic,8,"$782,058,097",$6.72,ETC,Ethash,15.0,111532502198538.0,8551868523434.0,3.10400000000001,0.000742380806675939,BTC
dash,9,"$695,092,446",$73.10,DASH,X11,150.0,199005346.642555,4623708648659698.0,1.44236248422214,0.00814473545961002,BTC
zcash,10,"$420,186,107",$45.52,ZEC,Equihash,75.0,52137792.7261364,6242105082.0,5.0,0.00513029247910864,BTC
dogecoin,11,"$313,487,078",$0.002514,DOGE,Scrypt,60.0,3116103.71654798,173765733991021.0,10000.0,2.78238414464534e-07,BTC
digibyte,12,"$249,226,259",$0.018920,DGB,Scrypt,15.0,2292330535.0959,0.0,,,
decred,13,"$159,180,339",$13.80,DCR,Blake (14r),294.0,28491513423.0547,4.197061326588119e+17,9.05289456747066,0.00152017668984701,BTC
bitcoingold,14,"$151,872,833",$8.67,BTG,Zhash,594.0,72899.7436959536,1272384.0,6.25,0.000975786908077992,BTC
algorand,15,"$147,525,765",$0.205817,,,,,,,,
ravencoin,16,"$121,419,208",$0.019477,RVN,KawPow,60.0,51668.1790858848,3328112444788.0,5000.0,2.17720055710307e-06,BTC
zilliqa,17,"$105,096,787",$0.010351,,,,,,,,
monacoin,18,"$104,077,894",$1.58,MONA,Lyra2REv2,90.0,3529497.29736005,188407614659177.0,25.0,0.000176514367176634,BTC
bitcoindiamond,19,"$102,587,525",$0.550088,BCD,BCD,732.0,11237277.4332088,54423238897678.0,125.0,6.27987325905292e-05,BTC
siacoin,20,"$93,852,588",$0.002244,,,,,,,,
energi,21,"$72,151,093",$2.46,,,,,,,,
electroneum,22,"$71,951,108",$0.007117,,,,,,,,
komodo,23,"$71,863,857",$0.599261,KMD,Equihash,60.0,267929451.50353,60786572.0,3.0,6.56316155988858e-05,BTC
verge,24,"$69,447,622",$0.004267,XVG,Scrypt,30.0,14395.5628,0.0,,,
bytom,25,"$63,531,888",$0.063374,BTM,Tensority,154.0,67742721398.0,439887801.0,412.5,7.10901112656466e-06,BTC
abbccoin,26,"$61,455,353",$0.110647,,,,,,,,
hypercash,27,"$57,315,557",$1.28,,,,,,,,
horizen,28,"$53,469,038",$5.85,ZEN,Equihash,150.0,9944907.31309314,643443759.0,7.5,0.000670912674094708,BTC
bytecoin,29,"$46,900,663",$0.000255,BCN,CryptoNight,121.0,32290858868.567,261233152.0,291.719777237076,2.7334297635605e-08,BTC
zcoin,30,"$43,582,773",$4.28,XZC,MTP,325.0,5369.67350913242,68188514377.0,14.0,0.00048396364902507,BTC
aion,31,"$38,815,372",$0.092407,AION,"Equihash (210,9)",11.0,15852374.7248157,1942615.0,4.5,1.03623816155989e-05,BTC
aeternity,32,"$35,098,938",$0.112852,AE,CuckooCycle,180.0,23450032.7586207,131261.0,168.398999999999,1.26471448467966e-05,BTC
divi,33,"$29,470,729",$0.017400,,,,,,,,
tomochain,34,"$27,387,117",$0.386974,,,,,,,,
elastos,35,"$26,083,803",$1.42,,,,,,,,
cortex,36,"$23,350,831",$0.093426,,,,,,,,
nuls,37,"$22,665,559",$0.233022,,,,,,,,
beam,38,"$21,098,992",$0.337988,BEAM,BeamHashII,60.0,88886415.1620295,1428238.0,40.0,3.78837273991654e-05,BTC
grin,39,"$20,238,907",$0.474605,,,,,,,,
newton,40,"$18,043,191",$0.000877,,,,,,,,
loki,41,"$16,468,056",$0.343001,,,,,,,,
vertcoin,42,"$15,580,828",$0.283833,VTC,Lyra2REv3,150.0,73332.1133461416,1993157415479.0,25.0,2.92669123783032e-05,BTC
syscoin,43,"$15,060,811",$0.025665,SYS,SHA-256,60.0,287168051005.3,0.0,,,
ilcoin,44,"$14,646,977",$0.031171,,,,,,,,
lbrycredits,45,"$14,523,099",$0.039394,,,,,,,,
groestlcoin,46,"$12,225,569",$0.162750,GRS,Groestl,60.0,1132102.28993719,76086528694862.0,5.0,1.77966342141864e-05,BTC
counosx,47,"$348,913,070",$19.71,,,,,,,,
advancedinternetblocks,48,"$112,382,776",$0.004641,,,,,,,,
cryptonex,49,"$90,639,825",$1.63,,,,,,,,
counoscoin,50,"$73,025,655",$4.92,,,,,,,,
deviantcoin,51,"$44,601,691",$1.64,,,,,,,,
vitae,52,"$28,206,511",$1.45,,,,,,,,
helleniccoin,53,"$19,797,592",$0.284301,,,,,,,,
edcblockchain,54,"$14,627,357",$0.005477,,,,,,,,
microbitcoin,55,"$12,670,820",$0.000067,,,,,,,,
fibos,56,"$12,600,071",$0.011849,,,,,,,,
unobtanium,57,"$11,230,738",$55.55,,,,,,,,
nexus,58,"$10,894,365",$0.168456,,,,,,,,
einsteinium,59,"$10,247,288",$0.046617,EMC2,Scrypt,60.0,974.612881700093,153521619046.0,1.95000000000001,4.99671766342144e-06,BTC
burst,60,"$8,791,417",$0.004199,,,,,,,,
metaverseetp,61,"$8,563,971",$0.109458,,,,,,,,
nkn,62,"$8,310,987",$0.017809,,,,,,,,
otocash,63,"$8,060,491",$0.378145,,,,,,,,
mooncoin,64,"$7,571,082",$0.000033,,,,,,,,
polis,65,"$6,985,783",$0.710523,,,,,,,,
namecoin,66,"$6,753,745",$0.458304,NMC,SHA-256,600.0,13208707961210.002,0.0,,,
peercoin,67,"$6,448,634",$0.245489,PPC,SHA-256,600.0,2769610661.67852,4566201674895355.0,43.5985975550162,2.78200278164115e-05,BTC
bitcoinrhodium,68,"$5,951,997",$6.26,,,,,,,,
lightningbitcoin,69,"$5,474,092",$1.42,,,,,,,,
zenon,70,"$5,451,133",$1.36,,,,,,,,
nimiq,71,"$5,450,482",$0.000912,,,,,,,,
aeon,72,"$5,143,754",$0.324907,,,,,,,,
gulden,73,"$5,059,072",$0.009864,,,,,,,,
quantumresistantledger,74,"$5,034,587",$0.070713,,,,,,,,
smartcash,75,"$4,785,849",$0.003385,SMART,Keccak,53.0,293766.342781557,25052873946645.0,22.1272214578531,3.88400695410292e-07,BTC
ubiq,76,"$4,755,488",$0.111607,UBQ,Ubqhash,86.0,4674713938669.66,52565592698.0,5.0,1.23184700973574e-05,BTC
piratechain,77,"$4,333,778",$0.027556,,,,,,,,
zvchain,78,"$4,312,432",$0.006909,,,,,,,,
flo,79,"$4,099,176",$0.026906,,,,,,,,
hycon,80,"$3,996,931",$0.001801,,,,,,,,
bitcore,81,"$3,751,884",$0.211199,,,,,,,,
blockstamp,82,"$3,636,685",$0.137933,,,,,,,,
dero,83,"$3,484,024",$0.357949,,,,,,,,
ondori,84,"$3,344,086",$0.000089,,,,,,,,
gamecredits,85,"$3,252,820",$0.046578,GAME,Scrypt,90.0,3593.38158842181,237786032159.0,6.25,5.14142061281338e-06,BTC
observer,86,"$3,226,995",$0.001536,,,,,,,,
matrixainetwork,87,"$3,208,486",$0.014972,,,,,,,,
viacoin,88,"$3,180,630",$0.137287,VIA,Scrypt,24.0,349199.371720111,54645332307559.0,0.625,1.51038247566064e-05,BTC
ddkoin,89,"$3,097,000",$1.81,,,,,,,,
nix,90,"$2,965,327",$0.068570,,,,,,,,
electra,91,"$2,944,188",$0.000103,,,,,,,,
stakecubecoin,92,"$2,772,871",$0.442482,,,,,,,,
zel,93,"$2,726,411",$0.026346,ZEL,ZelHash,121.0,2345.44413567224,130462.0,112.5,2.95343096234311e-06,BTC
digitalnote,94,"$2,610,063",$0.000354,,,,,,,,
litecoincash,95,"$2,574,152",$0.003806,LCC,SHA-256,75.0,125583134.122905,2506709673209146.0,125.000184599441,4.37001394700139e-07,BTC
ergo,96,"$2,478,590",$0.171462,,,,,,,,
emercoin,97,"$2,455,163",$0.053884,,,,,,,,
htmlcoin,98,"$2,428,592",$0.000046,,,,,,,,
decoin,99,"$2,399,878",$0.090595,,,,,,,,
feathercoin,100,"$2,299,725",$0.008248,FTC,NeoScrypt,60.0,59.214406921787,3493147238.0,40.0,9.38331015299027e-07,BTC
