Timestamp,miners-revenue
10/13/2010 0:00,766.4285715
10/16/2010 0:00,963.6478572
10/19/2010 0:00,1189.648143
10/22/2010 0:00,1316.35754
10/25/2010 0:00,1232.001182
10/28/2010 0:00,1482.35804
10/31/2010 0:00,2006.571429
11/2/2010 23:00,2024.571429
11/5/2010 23:00,2193.285714
11/8/2010 23:00,3261.198586
11/11/2010 23:00,3755.698586
11/14/2010 23:00,3693.412871
11/17/2010 23:00,3100.306286
11/20/2010 23:00,3053.921429
11/23/2010 23:00,2547.486743
11/26/2010 23:00,2313.292229
11/29/2010 23:00,2595.973286
12/2/2010 23:00,2667.592114
12/5/2010 23:00,2778.721177
12/8/2010 23:00,2775.437875
12/11/2010 23:00,2585.299527
12/14/2010 23:00,2130.811324
12/17/2010 23:00,2232.820571
12/20/2010 23:00,2412.239532
12/23/2010 23:00,2375.888183
12/26/2010 23:00,2225.881924
12/29/2010 23:00,2123.523774
1/1/2011 23:00,2404.810836
1/4/2011 23:00,2509.836484
1/7/2011 23:00,2434.335735
1/10/2011 23:00,2452.307702
1/13/2011 23:00,2835.244803
1/16/2011 23:00,3279.107867
1/19/2011 23:00,3480.602311
1/22/2011 23:00,3431.629182
1/25/2011 23:00,3602.085987
1/28/2011 23:00,3695.691992
1/31/2011 23:00,3661.387865
2/3/2011 23:00,5079.310436
2/6/2011 23:00,6960.432511
2/9/2011 23:00,8351.091957
2/12/2011 23:00,9083.111506
2/15/2011 23:00,10292.529
2/18/2011 23:00,11526.72446
2/21/2011 23:00,10968.74761
2/24/2011 23:00,9940.203416
2/27/2011 23:00,10932.44561
3/2/2011 23:00,9785.00282
3/5/2011 23:00,9466.364356
3/8/2011 23:00,10247.91743
3/11/2011 23:00,8894.624004
3/14/2011 23:00,6334.093142
3/17/2011 23:00,5798.51634
3/20/2011 23:00,5543.823722
3/23/2011 23:00,5660.517444
3/26/2011 23:00,6293.098615
3/30/2011 0:00,6976.102028
4/2/2011 0:00,7265.681986
4/5/2011 0:00,8056.083357
4/8/2011 0:00,7684.516997
4/11/2011 0:00,7085.898255
4/14/2011 0:00,6726.755985
4/17/2011 0:00,7602.018035
4/20/2011 0:00,8710.099081
4/23/2011 0:00,9339.766532
4/26/2011 0:00,11629.83164
4/29/2011 0:00,15020.59939
5/2/2011 0:00,23221.24185
5/5/2011 0:00,31379.10491
5/8/2011 0:00,37768.22738
5/11/2011 0:00,40235.92526
