Name,#,market_cap,price
42coin,153,"$628,076","$14,954.21"
primecoin,154,"$627,930",$0.019942
bismuth,155,"$610,288",$0.044420
denarius,156,"$608,830",$0.083304
mcashchain,157,"$604,556",$0.003618
luxcoin,158,"$593,452",$0.067509
decoin,159,"$575,100",$0.021856
bitcoinprivate,160,"$572,644",$0.119656
monetaryunit,161,"$570,748",$0.003034
cannabiscoin,162,"$553,776",$0.007170
safexcash,163,"$540,393",$0.012716
infinitecoin,164,"$537,174",$0.000006
pinkcoin,165,"$517,790",$0.001241
hashshare,166,"$516,161",$0.005590
stakecubecoin,167,"$506,463",$0.086334
auroracoin,168,"$502,497",$0.027796
dnotes,169,"$480,372",$0.003557
merebel,170,"$473,807",$0.076478
esbc,171,"$463,162",$0.020509
webdollar,172,"$460,559",$0.000052
expanse,173,"$455,590",$0.024227
stronghands,174,"$444,409",$0.000027
bitcoinz,175,"$440,073",$0.000065
dynamic,176,"$433,984",$0.029026
quasarcoin,177,"$427,519",$0.002539
safecoin,178,"$423,912",$0.015284
smileycoin,179,"$403,685",$0.000026
bzedge,180,"$379,754",$0.000127
novacoin,181,"$378,903",$0.162219
phoenixcoin,182,"$378,513",$0.004840
bitblocks,183,"$355,067",$0.001569
espers,184,"$351,099",$0.000015
biblepay,185,"$348,308",$0.000159
1x2coin,186,"$342,247",$0.069875
internetofpeople,187,"$324,262",$0.024088
karbo,188,"$322,136",$0.038382
hicoin,189,"$318,989",$0.000072
orbitcoin,190,"$317,905",$0.098709
experiencechain,191,"$314,017",$0.000003
snowgem,192,"$313,291",$0.012982
lobstex,193,"$306,255",$0.016005
yocoin,194,"$305,560",$0.000827
graviocoin,195,"$298,791",$0.000270
iq.cash,196,"$291,594",$0.074841
hempcoin,197,"$282,382",$0.001103
buzzcoin,198,"$275,784",$0.000014
scala,199,"$274,884",$0.000032
noir,200,"$271,051",$0.013336
hush,201,"$269,667",$0.030479
monkeyproject,202,"$264,860",$0.026613
sibcoin,203,"$264,723",$0.014425
thechampcoin,204,"$258,151",$0.001469
fedoracoin,205,"$257,170",$0.000001
vites,206,"$254,094",$0.000007
trezarcoin,207,"$253,500",$0.001251
conceal,208,"$250,393",$0.035235
cashberycoin,209,"$250,141",$0.003723
oduwa,210,"$238,478",$0.101486
memetic/pepecoin,211,"$236,863",$0.007929
spectrumcash,212,"$235,321",$0.000072
nerva,213,"$227,621",$0.013376
zcore,214,"$225,045",$0.035812
dubaicoin,215,"$223,679",$0.052468
bitcoinincognito,216,"$222,300",$0.017058
exclusivecoin,217,"$221,088",$0.037782
deviantcoin,218,"$203,063",$0.007656
actinium,219,"$202,860",$0.010128
pirl,220,"$192,610",$0.002827
fujicoin,221,"$189,248",$0.000071
helium,222,"$188,656",$0.013858
bulwark,223,"$184,123",$0.012342
birake,224,"$177,413",$0.002057
veriumreserve,225,"$176,828",$0.065361
minexcoin,226,"$176,298",$0.027764
motocoin,227,"$173,046",$0.008810
ultimatesecurecash,228,"$171,148",$0.016547
ether1,229,"$169,159",$0.003804
evergreencoin,230,"$169,068",$0.011859
goldcoin,231,"$165,568",$0.003974
crypticcoin,232,"$158,642",$0.000062
swing,233,"$154,996",$0.034128
pakcoin,234,"$151,338",$0.002206
maozedong,235,"$150,655",$0.023530
startcoin,236,"$147,110",$0.003263
zeitcoin,237,"$145,894",$0.000004
magi,238,"$145,671",$0.014640
newtoncoinproject,239,"$141,208",$7.78e-7
advancedinternetblocks,240,"$135,278",$0.004118
mmocoin,241,"$135,067",$0.002272
energycoin,242,"$134,941",$0.001103
bitcoincz,243,"$134,699",$0.049057
ryocurrency,244,"$133,564",$0.006808
freicoin,245,"$131,072",$0.002340
gobyte,246,"$127,612",$0.017371
trollcoin,247,"$122,615",$0.000207
graft,248,"$122,339",$0.000207
euno,249,"$122,012",$0.003625
maxcoin,250,"$119,621",$0.001947
emeraldcrypto,251,"$117,015",$0.006121
digitalcoin,252,"$116,353",$0.003309
bolivarcoin,253,"$114,468",$0.007929
gravitycoin,254,"$111,000",$0.032429
lethean,255,"$109,632",$0.000138
trumpcoin,256,"$108,871",$0.016485
mktcoin,257,"$108,410",$0.000090
stronghandsmasternode,258,"$107,582",$0.053110
mfcoin,259,"$107,579",$0.005147
lanacoin,260,"$104,955",$0.000068
epiccash,261,"$104,584",$0.017471
swiftcash,262,"$104,459",$0.000689
bitsend,263,"$103,739",$0.003849
masari,264,"$103,343",$0.008893
idealcash,265,"$99,677.97",$0.000069
ethersocial,266,"$97,955.69",$0.002275
netko,267,"$97,479.40",$0.009766
litecoinplus,268,"$96,778.95",$0.035162
photon,269,"$95,874.38",$0.000003
