Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoinrhodium,73,"$3,025,991",$3.62,,,,,,,,
smartcash,74,"$2,916,195",$0.002063,SMART,Keccak,54.0,340273.51699008,27064141243838.0,23.693661920669328,3.874e-07,BTC
dero,75,"$2,668,977",$0.279308,,,,,,,,
hycon,76,"$2,600,071",$0.001195,,,,,,,,
lbrycredits,77,"$2,582,084",$0.007563,,,,,,,,
electra,78,"$2,578,366",$0.000090,,,,,,,,
gamecredits,79,"$2,351,528",$0.033672,GAME,Scrypt,57.0,2032.5786796313,153155420273.0,6.25,5.63e-06,BTC
litecoincash,80,"$2,332,242",$0.003494,LCC,SHA-256,150.0,269351223.0,7712364626150686.0,125.0,6.4e-07,BTC
piratechain,81,"$2,303,657",$0.015256,,,,,,,,
nimiq,82,"$2,294,868",$0.000413,,,,,,,,
ondori,83,"$2,254,641",$0.000060,,,,,,,,
flo,84,"$2,196,325",$0.014416,,,,,,,,
zel,85,"$2,167,679",$0.022558,ZEL,ZelHash,121.0,3181.26266887888,215379.0,112.5,4.05e-06,BTC
bitgreen,86,"$2,123,287",$0.202629,,,,,,,,
viacoin,87,"$2,083,269",$0.089930,VIA,Scrypt,24.0,289686.54440142,51841426428972.0,0.625,1.681e-05,BTC
etherzero,88,"$2,032,471",$0.012065,,,,,,,,
matrixainetwork,89,"$2,009,259",$0.009717,,,,,,,,
ubiq,90,"$1,971,510",$0.046270,UBQ,Ubqhash,86.0,4793017688222.0,55732763816.0,5.0,8.65e-06,BTC
emercoin,91,"$1,925,617",$0.042468,,,,,,,,
colossusxt,92,"$1,871,507",$0.000158,,,,,,,,
nativecoin,93,"$1,823,215",$0.079651,,,,,,,,
htmlcoin,94,"$1,802,478",$0.000034,,,,,,,,
tera,95,"$1,699,097",$0.002011,,,,,,,,
titancoin,96,"$1,674,732",$0.001852,,,,,,,,
amoveo,97,"$1,668,049",$24.52,,,,,,,,
nix,98,"$1,388,886",$0.032117,,,,,,,,
axe,99,"$1,386,070",$0.263463,AXE,X11,155.0,1762375.32,48834479759209.0,1.94,4.488e-05,BTC
boolberry,100,"$1,368,632",$0.103626,,,,,,,,
