Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$110,824,193,518","$6,061.95",BTC,SHA-256,664.0,16552923967337.0,1.070696793567575e+20,12.7805,6028.02,BTC
ethereum,2,"$14,013,617,771",$127.16,ETH,Ethash,13.6112,2163783674522570.0,158970823624850.0,2.0,0.0208453,BTC
bitcoincash,3,"$3,827,317,960",$208.63,BCH,SHA-256,600.0,550545487739.34,0.0,,,
bitcoinsv,4,"$2,931,856,533",$159.84,BSV,SHA-256,588.0,426579293536.471,3.115891351853617e+18,12.5,0.026169,BTC
litecoin,5,"$2,361,905,821",$36.71,LTC,Scrypt,138.0,4858452.946,151209395016122.0,12.5,0.0060182,BTC
cardano,6,"$726,235,070",$0.028011,,,,,,,,
tron,7,"$717,808,644",$0.010765,,,,,,,,
monero,8,"$702,751,576",$40.17,XMR,RandomX,124.0,136138897906.0,1097894337.0,1.819714255276,0.00663,BTC
dash,9,"$629,873,468",$67.05,DASH,X11,158.0,170094708.049224,4623741824646107.0,1.5533134445469152,0.01091574,BTC
ethereumclassic,10,"$548,567,200",$4.72,ETC,Ethash,13.1379,128186818162077.0,9757024955440.0,3.104,0.000776,BTC
zcash,11,"$296,249,749",$31.17,ZEC,Equihash,75.0,55685818.7567153,6082376363.0,5.0,0.00510923,BTC
dogecoin,12,"$218,178,486",$0.001762,DOGE,Scrypt,62.0,1468289.53891887,101713799205088.0,10000.0,2.9086e-07,BTC
bitcoingold,13,"$126,275,870",$7.21,BTG,Zhash,576.0,203214.275004288,2890158.0,12.5,0.0011844,BTC
decred,14,"$122,147,854",$11.32,DCR,Blake (14r),276.0,28652949427.5494,4.45882176540821e+17,9.32720632575956,0.00188437,BTC
algorand,15,"$101,292,952",$0.153533,,,,,,,,
bitcoindiamond,16,"$89,497,599",$0.479898,BCD,BCD,732.0,3185371.99223571,18689984333670.0,125.0,7.861e-05,BTC
ravencoin,17,"$81,592,803",$0.014126,RVN,X16Rv2,60.0,455823.793143333,32629138071488.0,5000.0,2.3e-06,BTC
monacoin,18,"$80,148,708",$1.22,MONA,Lyra2REv2,93.0,3843164.76421838,177486741671585.0,25.0,0.00019899,BTC
siacoin,19,"$57,609,875",$0.001378,,,,,,,,
