Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$134,724,194,320","$7,357.77",BTC,SHA-256,537.0,13912524048945.0,1.1127343723469698e+20,12.6537,7345.0,BTC
ethereum,2,"$18,958,190,247",$171.69,ETH,Ethash,13.3469,2167730406965400.0,162414523744494.0,2.0,0.023223,BTC
bitcoincash,3,"$4,761,207,717",$259.14,BCH,SHA-256,600.0,503595751630.51,0.0,,,
bitcoinsv,4,"$3,510,346,135",$191.09,BSV,SHA-256,617.0,340173137602.15,2.3679619140663567e+18,12.5,0.02593,BTC
litecoin,5,"$3,010,866,850",$46.71,LTC,Scrypt,151.0,5205207.651,148054282317443.0,12.5,0.006351,BTC
monero,6,"$1,025,278,692",$58.54,XMR,RandomX,119.0,144601385855.0,1215137696.0,1.782249445107,0.007945,BTC
cardano,7,"$937,855,596",$0.036173,,,,,,,,
tron,8,"$923,018,166",$0.013842,,,,,,,,
dash,9,"$701,370,028",$74.40,DASH,X11,156.0,239576022.660686,6595969116880775.0,1.5533134445469152,0.01011489,BTC
ethereumclassic,10,"$663,086,638",$5.70,ETC,Ethash,13.0462,117574487361218.0,9012163492911.0,3.104,0.0007727,BTC
zcash,11,"$364,144,417",$37.42,ZEC,Equihash,75.0,41207140.6586339,4500918617.0,5.0,0.00506772,BTC
dogecoin,12,"$250,201,835",$0.002017,DOGE,Scrypt,62.0,1935297.65450331,134065163453503.0,10000.0,2.7127e-07,BTC
bitcoingold,13,"$140,706,694",$8.03,BTG,Zhash,600.0,150376.482364732,2053140.0,12.5,0.00109,BTC
decred,14,"$137,692,456",$12.76,DCR,Blake (14r),289.0,26944985029.6986,4.0044231658742246e+17,9.234857748276793,0.00173394,BTC
algorand,15,"$131,258,374",$0.195606,,,,,,,,
ravencoin,16,"$101,240,072",$0.017188,RVN,X16Rv2,59.0,509057.209853394,37057357086666.0,5000.0,2.3e-06,BTC
bitcoindiamond,17,"$98,469,701",$0.528008,BCD,BCD,527.0,2190560.42460612,17852723688036.0,125.0,7.145e-05,BTC
digibyte,18,"$85,221,337",$0.006551,DGB,Scrypt,15.0,299118.21619697,0.0,,,
monacoin,19,"$83,999,344",$1.28,MONA,Lyra2REv2,94.0,3613336.21621622,165097456150011.0,25.0,0.00017776,BTC
energi,20,"$63,589,386",$2.30,,,,,,,,
siacoin,21,"$61,997,540",$0.001483,,,,,,,,
bytom,22,"$61,652,226",$0.061499,BTM,Tensority,150.0,67239710616.5711,448264737.0,412.5,8.184e-06,BTC
abbccoin,23,"$57,054,014",$0.102723,,,,,,,,
horizen,24,"$53,635,773",$6.10,ZEN,Equihash,153.0,10376328.874624,555574419.0,7.5,0.000828,BTC
komodo,25,"$51,342,677",$0.430970,KMD,Equihash,60.0,176626811.72068,47100483.0,3.0,5.86e-05,BTC
hypercash,26,"$49,069,888",$1.10,,,,,,,,
zilliqa,27,"$47,754,262",$0.004761,,,,,,,,
bytecoin,28,"$47,190,659",$0.000256,BCN,CryptoNight,118.0,33407148840.0,283111430.0,331.98386887,3.259e-08,BTC
verge,29,"$47,043,633",$0.002899,XVG,Scrypt,30.0,18327.3383,0.0,,,
