Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$121,096,640,268","$6,622.32",BTC,SHA-256,868.0,16552923967337.0,8.190583766461635e+19,12.8535,6628.39,BTC
ethereum,2,"$15,000,922,739",$136.07,ETH,Ethash,13.675,2215854847713380.0,162036917565877.0,2.0,0.02046351,BTC
bitcoincash,3,"$4,022,823,136",$219.23,BCH,SHA-256,600.0,494038439831.47,0.0,,,
bitcoinsv,4,"$3,145,724,775",$171.45,BSV,SHA-256,598.0,389008829657.564,2.7939468248068096e+18,12.5,0.025821,BTC
litecoin,5,"$2,515,727,142",$39.09,LTC,Scrypt,155.0,4937941.256,136827717445736.0,12.5,0.0058959,BTC
monero,6,"$804,785,669",$46.00,XMR,RandomX,119.0,144656006483.0,1215596693.0,1.814437944081,0.006947,BTC
cardano,7,"$761,526,666",$0.029372,,,,,,,,
tron,8,"$754,165,413",$0.011310,,,,,,,,
dash,9,"$634,905,294",$67.55,DASH,X11,156.0,217398715.046222,5985386995615042.0,1.5533134445469152,0.01018025,BTC
ethereumclassic,10,"$590,047,045",$5.07,ETC,Ethash,13.0564,128214691564144.0,9820064609244.0,3.104,0.0007662,BTC
zcash,11,"$302,515,929",$31.69,ZEC,Equihash,75.0,40536594.8126512,4427677129.0,5.0,0.0047795,BTC
dogecoin,12,"$226,052,662",$0.001825,DOGE,Scrypt,63.0,1726561.136662,117706724071553.0,10000.0,2.7476e-07,BTC
bitcoingold,13,"$130,868,286",$7.47,BTG,Zhash,573.0,250707.202661783,3584281.0,12.5,0.0011216,BTC
decred,14,"$123,117,096",$11.41,DCR,Blake (14r),301.0,30916352107.5716,4.411452532014641e+17,9.32720632575956,0.00172844,BTC
algorand,15,"$102,337,239",$0.154671,,,,,,,,
bitcoindiamond,16,"$91,833,310",$0.492423,BCD,BCD,556.0,3377947.38598798,26093837320911.0,125.0,7.319e-05,BTC
ravencoin,17,"$86,500,439",$0.014921,RVN,X16Rv2,60.0,474591.987347608,33972617743360.0,5000.0,2.24e-06,BTC
monacoin,18,"$82,075,926",$1.25,MONA,Lyra2REv2,95.0,2388005.07914444,107962144395865.0,25.0,0.00018625,BTC
bytom,19,"$57,553,400",$0.057410,,,,,,,,
siacoin,20,"$54,134,126",$0.001295,,,,,,,,
edcblockchain,21,"$53,853,989",$0.020165,,,,,,,,
abbccoin,22,"$53,252,447",$0.095878,,,,,,,,
digibyte,23,"$49,009,321",$0.003781,DGB,Scrypt,15.0,4450080.9500026,0.0,,,
horizen,24,"$46,261,618",$5.31,ZEN,Equihash,149.0,11593600.4367887,637414595.0,7.5,0.0008005,BTC
hypercash,25,"$44,709,854",$1.00,,,,,,,,
komodo,26,"$44,426,010",$0.373514,KMD,Equihash,60.0,230719449.644947,61525186.0,3.0,5.64e-05,BTC
energi,27,"$41,094,886",$1.50,,,,,,,,
verge,28,"$39,677,566",$0.002447,XVG,Scrypt,30.0,7555.63371138,0.0,,,
bytecoin,29,"$39,569,706",$0.000215,BCN,CryptoNight,124.0,25514723016.0,205763895.0,344.12654485,3e-08,BTC
zilliqa,30,"$38,492,100",$0.003849,,,,,,,,
zcoin,31,"$30,913,100",$3.17,XZC,MTP,290.0,6389.654,94632258492.0,14.0,0.00047612,BTC
aeternity,32,"$29,772,738",$0.097522,AE,CuckooCycle,183.0,31716950.0,173316.0,183.546,1.468e-05,BTC
